Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Filename,GPS quality,UTM zone
58.981042,704177431.7825215,5639163251.547867,73600.0,359.9375,-4.5625,0.0,image0.jpg,5,30U
125.981406,704177502.8613312,5639163235.781577,73800.0,359.9375,-4.5625,0.0,image1.jpg,5,30U
255.526771,704177502.8613312,5639163235.781577,73800.0,359.9375,-4.5625,0.0,image3.jpg,5,30U
324.467708,704177514.5816616,5639163236.242415,73800.0,359.9375,-4.5625,0.0,image4.jpg,5,30U
455.617656,704177502.8613312,5639163235.781577,73800.0,359.9375,-4.5625,0.0,image6.jpg,5,30U
523.090781,704177514.5816616,5639163236.242415,73800.0,359.9375,-4.5625,0.0,image7.jpg,5,30U
655.578698,704177514.5816616,5639163236.242415,73800.0,359.8125,-4.6875,0.0,image9.jpg,5,30U
722.861823,704177514.5816616,5639163236.242415,73800.0,359.9375,-4.5,0.0,image10.jpg,5,30U
855.614948,704177526.3090267,5639163236.70353,73800.0,359.8125,-4.5625,-0.0625,image12.jpg,5,30U
923.174583,704177514.5816616,5639163236.242415,73800.0,359.8125,-4.5,-0.0625,image13.jpg,5,30U
1059.482864,704177514.5816616,5639163236.242415,73800.0,359.8125,-4.5625,-0.0625,image15.jpg,5,30U
1124.473229,704177526.3090267,5639163236.70353,73800.0,359.8125,-4.5625,-0.0625,image16.jpg,5,30U
1254.991718,704177526.3090267,5639163236.70353,73800.0,359.875,-4.5625,-0.0625,image18.jpg,5,30U
1324.195104,704177526.3090267,5639163236.70353,73700.0,359.875,-4.5625,-0.0625,image19.jpg,5,30U
1454.962083,704177526.3090267,5639163236.70353,73700.0,359.8125,-4.5,0.0,image21.jpg,5,30U
1524.10526,704177526.3090267,5639163236.70353,73700.0,359.875,-4.5625,0.0,image22.jpg,5,30U
1654.905572,704177526.3090267,5639163236.70353,73700.0,359.125,-4.3125,1.0625,image24.jpg,5,30U
1722.650364,704177514.5816616,5639163236.242415,73700.0,358.9375,-4.4375,2.3125,image25.jpg,5,30U
1855.30651,704177467.6862701,5639163234.398509,73700.0,358.625,-5.5,5.25,image27.jpg,5,30U
1924.053072,704177444.2315379,5639163233.476281,73700.0,358.25,-6.5,7.0625,image28.jpg,5,30U
