Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Filename,GPS quality,UTM zone
12.566406,704173169.6608154,5639165923.241267,64000.0,359.9375,-2.0,4.75,image0.jpg,5,30U
135.54625,704173118.3164568,5639165735.645148,64000.0,359.9375,-2.0,4.75,image2.jpg,5,30U
272.508802,704173130.7724875,5639165717.573831,63900.0,359.9375,-2.0,4.75,image4.jpg,5,30U
335.967865,704173107.3248017,5639165716.651897,64000.0,359.9375,-2.0,4.75,image5.jpg,5,30U
472.784687,704173107.3248017,5639165716.651897,64000.0,359.9375,-2.0,4.75,image7.jpg,5,30U
536.769844,704173108.0530359,5639165698.130592,64000.0,359.9375,-2.0,4.75,image8.jpg,5,30U
674.13651,704173097.0543475,5639165679.137066,64000.0,359.9375,-2.0,4.75,image10.jpg,5,30U
737.557604,704173097.0543475,5639165679.137066,64000.0,359.9375,-2.0,4.75,image11.jpg,5,30U
805.616302,704173097.7830187,5639165660.604645,64000.0,359.9375,-2.0,4.75,image12.jpg,5,30U
936.694427,704173086.0556592,5639165660.14354,64000.0,359.9375,-2.0,4.75,image14.jpg,5,30U
1071.650781,704173086.0556592,5639165660.14354,64000.0,359.9375,-2.0,4.75,image16.jpg,5,30U
1136.433541,704173086.7838932,5639165641.622234,64000.0,359.9375,-2.0,4.75,image17.jpg,5,30U
1272.748802,704173086.7838932,5639165641.622234,64000.0,359.9375,-2.0,4.75,image19.jpg,5,30U
1341.557552,704173087.5125643,5639165623.089812,64000.0,359.9375,-2.0,4.75,image20.jpg,5,30U
1404.511041,704173075.7922395,5639165622.628985,64000.0,359.9375,-2.0,4.75,image21.jpg,5,30U
1540.290104,704173076.5209106,5639165604.096561,64000.0,359.9375,-2.0,4.75,image23.jpg,5,30U
1673.457708,704173077.2491446,5639165585.575256,64000.0,359.9375,-2.0,4.75,image25.jpg,5,30U
1741.486406,704173065.5217848,5639165585.114152,64000.0,359.9375,-2.0,4.75,image26.jpg,5,30U
1805.525416,704173077.9778156,5639165567.042833,64000.0,359.9375,-2.0,4.75,image27.jpg,5,30U
1940.609687,704173066.2504559,5639165566.581728,64000.0,359.9375,-2.0,4.75,image29.jpg,5,30U
2005.245781,704173066.9791268,5639165548.049309,64000.0,359.9375,-2.0,4.75,image30.jpg,5,30U
2140.618072,704173066.9791268,5639165548.049309,64000.0,359.9375,-2.0,4.75,image32.jpg,5,30U
2273.235208,704173067.7073607,5639165529.528002,64000.0,359.9375,-2.0,4.75,image34.jpg,5,30U
2340.670416,704173067.7073607,5639165529.528002,64000.0,359.9375,-2.0,4.75,image35.jpg,5,30U
2472.801458,704173055.980001,5639165529.066896,64000.0,359.9375,-2.0,4.75,image37.jpg,5,30U
2540.592082,704173056.7086719,5639165510.534475,64000.0,359.9375,-2.0,4.75,image38.jpg,5,30U
2672.894739,704173056.7086719,5639165510.534475,64000.0,359.9375,-2.0,4.75,image40.jpg,5,30U
2740.368489,704173057.4373429,5639165492.002054,64000.0,359.9375,-2.0,4.75,image41.jpg,5,30U
2808.83078,704173057.4373429,5639165492.002054,64000.0,359.9375,-2.0,4.75,image42.jpg,5,30U
2940.407291,704173045.7170179,5639165491.541226,64000.0,359.9375,-2.0,4.75,image44.jpg,5,30U
3008.047134,704173058.1655768,5639165473.480748,64000.0,359.75,-1.8125,5.0,image45.jpg,5,30U
3141.434478,704173046.4452517,5639165473.01992,64000.0,359.5,-1.625,5.5,image47.jpg,5,30U
3208.515468,704173022.9905299,5639165472.097711,64000.0,359.375,-1.8125,5.6875,image48.jpg,5,30U
3340.780884,704173022.9905299,5639165472.097711,64000.0,359.1875,-2.0,5.5625,image50.jpg,5,30U
3408.407863,704173022.9905299,5639165472.097711,64000.0,359.0625,-1.875,5.875,image51.jpg,5,30U
3539.612343,704173011.9988756,5639165453.104461,64000.0,358.875,-2.125,5.5625,image53.jpg,5,30U
3609.837759,704173000.2715157,5639165452.643356,64000.0,358.75,-2.0,5.625,image54.jpg,5,30U
3740.361978,704172988.5441557,5639165452.182251,64000.0,358.625,-1.75,5.375,image56.jpg,5,30U
3808.730676,704172964.3677999,5639165469.792742,64000.0,358.5625,-1.9375,5.125,image57.jpg,5,30U
3940.294738,704172917.4653933,5639165467.948601,64000.0,359.75,-3.6875,3.3125,image59.jpg,5,30U
4009.732082,704172858.8426615,5639165465.643631,64000.0,1.3125,-3.875,3.6875,image60.jpg,5,30U
4140.196717,704172835.3949764,5639165464.7217,64000.0,1.6875,-1.625,5.375,image62.jpg,5,30U
4209.509738,704172811.2120236,5639165482.320798,64000.0,1.0,-1.3125,4.1875,image63.jpg,5,30U
4342.271873,704172751.860622,5639165498.548251,64000.0,1.25,-1.0625,4.3125,image65.jpg,5,30U
4410.070467,704172716.6855773,5639165497.165217,64000.0,1.5625,-0.875,4.9375,image66.jpg,5,30U
4539.806196,704172704.9582157,5639165496.704113,64000.0,1.0,-0.4375,6.125,image68.jpg,5,30U
4608.940988,704172682.2392005,5639165477.249761,64099.99999999999,0.375,0.0,6.5625,image69.jpg,5,30U
4741.451561,704172658.7915154,5639165476.327829,64099.99999999999,0.5,-1.0,5.1875,image71.jpg,5,30U
4808.905102,704172610.4317701,5639165511.548534,64099.99999999999,0.25,-1.5,1.25,image72.jpg,5,30U
4941.188123,704172574.5284933,5639165528.686807,64099.99999999999,0.1875,-1.8125,-0.1875,image74.jpg,5,30U
5009.123852,704172514.4484242,5639165563.446686,64099.99999999999,359.9375,-1.75,0.6875,image75.jpg,5,30U
5140.291769,704172478.5451483,5639165580.584956,64099.99999999999,358.6875,-1.25,1.4375,image77.jpg,5,30U
5208.615675,704172455.8186588,5639165561.141444,64099.99999999999,358.25,-0.8125,2.0,image78.jpg,5,30U
5344.562654,704172444.8270028,5639165542.148195,64200.0,357.5,0.3125,4.75,image80.jpg,5,30U
5410.393019,704172410.380627,5639165522.232741,64200.0,356.5,0.9375,5.6875,image81.jpg,5,30U
5543.429321,704172386.1972389,5639165539.842955,64200.0,354.0625,4.0,1.5625,image83.jpg,5,30U
5612.57531,704172351.0221927,5639165538.459922,64200.0,354.125,3.625,-2.25,image84.jpg,5,30U
5744.084946,704172303.398155,5639165555.148486,64200.0,354.5,5.1875,-1.9375,image86.jpg,5,30U
5808.726977,704172292.3994637,5639165536.154961,64200.0,354.6875,5.25,-1.25,image87.jpg,5,30U
5943.431925,704172268.9517771,5639165535.233031,64200.0,354.25,4.1875,-0.75,image89.jpg,5,30U
6008.845154,704172210.3220134,5639165532.9277935,64300.0,353.9375,2.5625,0.5625,image90.jpg,5,30U
6144.123227,704172175.146967,5639165531.544762,64200.0,353.8125,-1.5625,2.125,image92.jpg,5,30U
6208.762029,704172128.2515978,5639165529.700904,64200.0,353.6875,-1.4375,0.0,image93.jpg,2,30U
6344.105519,704172079.8922939,5639165564.9105,64200.0,352.5625,-2.5625,0.5625,image95.jpg,5,30U
6408.986873,704172044.7172498,5639165563.527469,64300.0,352.375,-1.9375,0.9375,image96.jpg,5,30U
6544.65156,704172008.8135365,5639165580.67686,64300.0,353.125,0.0,0.0,image98.jpg,5,30U
6612.741039,704171985.365852,5639165579.754932,64300.0,354.0625,-0.25,1.0,image99.jpg,5,30U
6744.422706,704171927.464754,5639165558.917275,64300.0,356.75,0.125,4.1875,image101.jpg,5,30U
6812.538123,704171892.2897098,5639165557.5342455,64300.0,357.5625,1.3125,1.4375,image102.jpg,5,30U
6943.398227,704171866.6564621,5639165612.198468,64300.0,1.3125,0.0,-0.125,image104.jpg,5,30U
7013.444216,704171796.3063726,5639165609.43241,64300.0,1.1875,-0.5625,3.5625,image105.jpg,2,30U
7143.255622,704171772.8586867,5639165608.510483,64300.0,0.5625,0.125,4.8125,image107.jpg,2,30U
7214.125674,704171747.9466349,5639165644.653124,64300.0,2.25,0.3125,3.375,image108.jpg,2,30U
7344.528226,704171700.3230376,5639165661.330575,64300.0,5.9375,0.5625,3.0,image110.jpg,5,30U
7413.849581,704171640.9646076,5639165677.557766,64300.0,8.0625,0.8125,4.5,image111.jpg,5,30U
7545.841768,704171605.0608966,5639165694.707159,64300.0,10.4375,3.0,3.3125,image113.jpg,5,30U
7613.857028,704171591.8836775,5639165731.300062,64300.0,12.5,4.625,4.0,image114.jpg,5,30U
7744.437237,704171508.3493366,5639165765.126634,64300.0,13.375,2.75,5.6875,image116.jpg,5,30U
7812.977966,704171483.4443222,5639165801.269553,64300.0,13.4375,2.3125,5.6875,image117.jpg,5,30U
7944.969476,704171435.8136908,5639165817.946731,64300.0,13.875,1.8125,5.0,image119.jpg,5,30U
8012.916091,704171399.1813182,5639165853.628548,64300.0,14.875,1.875,3.8125,image120.jpg,5,30U
8144.191976,704171350.8220226,5639165888.838149,64300.0,14.5625,3.3125,4.1875,image122.jpg,5,30U
8212.734112,704171326.6456747,5639165906.448646,64300.0,14.625,3.5,1.375,image123.jpg,5,30U
8344.535726,704171278.2863817,5639165941.658247,64300.0,14.1875,3.125,3.125,image125.jpg,5,30U
8413.438955,704171207.2076325,5639165957.42462,64300.0,13.875,2.5625,5.3125,image126.jpg,5,30U
8545.234736,704171160.3122654,5639165955.5807705,64300.0,12.0625,1.9375,5.875,image128.jpg,5,30U
8612.599841,704171135.4006566,5639165991.7122965,64400.00000000001,11.3125,1.4375,5.5,image129.jpg,5,30U
8745.38807,704171075.3210403,5639166026.461075,64400.00000000001,10.0625,-1.375,2.625,image131.jpg,5,30U
8812.653382,704171015.2409896,5639166061.220973,64400.00000000001,9.0625,-1.5625,1.5,image132.jpg,5,30U
8946.163278,704170979.3377205,5639166078.359254,64400.00000000001,9.5625,-1.0625,4.3125,image134.jpg,5,30U
9012.554215,704170955.8830037,5639166077.437054,64400.00000000001,8.5,-1.9375,5.75,image135.jpg,5,30U
9146.032288,704170871.6270444,5639166129.796333,64400.00000000001,8.375,-1.4375,4.4375,image137.jpg,5,30U
9212.32609,704170823.995981,5639166146.484633,64400.00000000001,7.5625,-1.125,4.5625,image138.jpg,5,30U
9349.429997,704170776.3649198,5639166163.172935,64400.00000000001,7.1875,-0.125,5.875,image140.jpg,5,30U
9412.472236,704170752.1890104,5639166180.772317,64400.00000000001,7.5,-0.3125,5.0,image141.jpg,5,30U
9549.589736,704170703.8292869,5639166215.993039,64500.0,7.875,1.8125,3.75,image143.jpg,5,30U
9612.650309,704170645.2065643,5639166213.688095,64500.0,7.0,1.8125,4.4375,image144.jpg,5,30U
9749.791038,704170585.126954,5639166248.43688,64500.0,6.875,1.4375,3.375,image146.jpg,5,30U
9812.738486,704170560.9435757,5639166266.047105,64500.0,7.1875,1.5,4.4375,image147.jpg,5,30U
9948.241923,704170477.4162855,5639166299.873969,64500.0,5.1875,1.875,5.0625,image149.jpg,5,30U
10012.762132,704170429.0570023,5639166335.083578,64500.0,6.25,3.4375,5.375,image150.jpg,5,30U
10148.317913,704170406.3375443,5639166315.640351,64500.0,5.5625,5.1875,7.75,image152.jpg,5,30U
10212.374475,704170382.1546041,5639166333.239459,64500.0,6.0625,5.125,7.5,image153.jpg,5,30U
10348.791819,704170333.0736951,5639166386.981767,64500.0,5.5625,5.3125,4.75,image155.jpg,5,30U
10411.463902,704170297.1699936,5639166404.131171,64500.0,6.1875,2.8125,4.8125,image156.jpg,5,30U
10548.859059,704170226.0912544,5639166419.897555,64500.0,5.125,2.75,4.5625,image158.jpg,5,30U
10612.919996,704170201.9083153,5639166437.496665,64500.0,5.4375,1.1875,6.0,image159.jpg,5,30U
10749.398954,704170107.3818966,5639166452.341131,64500.0,4.3125,-0.9375,8.25,image161.jpg,5,30U
10816.324111,704170059.750839,5639166469.029438,64500.0,3.1875,-1.9375,7.3125,image162.jpg,5,30U
10948.943121,704170034.8462751,5639166505.161246,64599.99999999999,2.9375,1.0625,4.5625,image164.jpg,5,30U
11017.00786,704170010.6699346,5639166522.7717495,64599.99999999999,2.5,0.875,3.5,image165.jpg,5,30U
11149.583538,704169916.1369206,5639166537.604825,64599.99999999999,1.8125,1.625,5.375,image167.jpg,5,30U
11216.356142,704169903.6879364,5639166555.676427,64599.99999999999,1.8125,1.125,5.4375,image168.jpg,5,30U
11348.339683,704169845.0581846,5639166553.371215,64599.99999999999,0.875,2.3125,5.8125,image170.jpg,5,30U
11416.375621,704169798.1628233,5639166551.527378,64599.99999999999,0.875,0.625,3.6875,image171.jpg,5,30U
