Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Filename,GPS quality,UTM zone
3.667448,704630150.5309447,5638854627.689074,71800.0,359.9375,-6.4375,2.4375,image0.jpg,4,30U
202.686823,704630162.2590338,5638854628.151194,71800.0,359.9375,-6.4375,2.4375,image1.jpg,4,30U
402.820938,704630162.2590338,5638854628.151194,71800.0,359.9375,-6.375,2.4375,image2.jpg,4,30U
602.690885,704630162.2590338,5638854628.151194,71800.0,359.875,-6.375,3.125,image3.jpg,4,30U
801.829635,704630198.8962846,5638854592.483603,71800.0,359.25,-6.125,3.1875,image4.jpg,4,30U
1001.888125,704630212.0843908,5638854555.892051,71800.0,357.125,-6.5,1.75,image5.jpg,4,30U
1202.197916,704630261.9031502,5638854483.621514,71700.0,354.625,-5.6875,1.8125,image6.jpg,4,30U
1403.045104,704630321.9965818,5638854448.878162,71700.0,352.5625,-6.5,2.0,image7.jpg,4,30U
1603.329218,704630394.5412964,5638854396.0642605,71700.0,351.1875,-6.9375,2.125,image8.jpg,4,30U
1803.39552,704630431.908777,5638854341.864277,71700.0,350.3125,-7.0625,0.6875,image9.jpg,4,30U
2003.232499,704630480.9973147,5638854288.126137,71700.0,350.125,-7.375,0.8125,image10.jpg,4,30U
2202.391302,704630529.3630961,5638854252.90955,71700.0,350.0625,-7.25,1.0625,image11.jpg,4,30U
2402.470885,704630566.000352,5638854217.241962,71700.0,350.0,-6.125,1.5,image12.jpg,4,30U
2602.983176,704630627.5472113,5638854145.433549,71700.0,349.625,-6.0,2.6875,image13.jpg,4,30U
2803.537864,704630700.8217226,5638854074.098373,71700.0,349.5,-7.125,2.1875,image14.jpg,4,30U
3003.794114,704630785.8247664,5638854003.214203,71700.0,349.3125,-7.8125,2.5,image15.jpg,4,30U
3203.646353,704630834.920346,5638853949.476341,71700.0,349.5625,-7.8125,1.875,image16.jpg,4,30U
3402.790728,704630908.1953028,5638853878.130052,71700.0,349.5625,-7.5,1.5,image17.jpg,4,30U
3602.944843,704630980.7400314,5638853825.316157,71700.0,349.125,-6.625,3.4375,image18.jpg,4,30U
3803.10578,704631042.2864609,5638853753.518867,71700.0,348.75,-7.5625,3.125,image19.jpg,4,30U
4002.988488,704631128.0197451,5638853664.102305,71700.0,348.75,-7.6875,1.1875,image20.jpg,4,30U
4203.105728,704631213.0153279,5638853593.228983,71700.0,348.6875,-8.3125,2.6875,image21.jpg,4,30U
4403.146822,704631298.0183864,5638853522.344819,71600.0,348.6875,-7.875,3.125,image22.jpg,4,30U
4603.235207,704631372.0231487,5638853432.477259,71600.0,348.4375,-7.6875,2.125,image23.jpg,4,30U
4803.404634,704631456.2959801,5638853380.125492,71600.0,348.5,-6.9375,3.0625,image24.jpg,4,30U
5003.270259,704631528.8407211,5638853327.311606,71600.0,348.3125,-6.0,2.6875,image25.jpg,4,30U
5203.695415,704631602.1156958,5638853255.965325,71600.0,348.125,-5.0625,2.875,image26.jpg,4,30U
5403.530311,704631676.1204671,5638853166.097768,71600.0,348.5,-5.125,1.3125,image27.jpg,4,30U
5603.591196,704631749.395446,5638853094.751491,71600.0,348.0625,-5.5625,2.125,image28.jpg,4,30U
5803.647342,704631834.3914845,5638853023.867059,71600.0,347.5625,-5.6875,1.6875,image29.jpg,4,30U
6003.7288,704631931.8524486,5638852934.923752,71600.0,346.9375,-5.625,1.625,image30.jpg,4,30U
6203.850935,704632017.5782877,5638852845.518045,71600.0,347.0,-5.4375,1.0,image31.jpg,4,30U
6404.065987,704632102.5813693,5638852774.633897,71600.0,346.875,-5.5625,1.0,image32.jpg,4,30U
6604.933227,704632199.3055111,5638852704.211593,71500.0,345.75,-5.5625,0.625,image33.jpg,4,30U
6805.313435,704632296.7664874,5638852615.268291,71500.0,343.75,-6.375,0.0,image34.jpg,4,30U
7005.123852,704632405.9485257,5638852526.786841,71500.0,343.125,-6.6875,0.6875,image35.jpg,4,30U
7205.43432,704632515.1310058,5638852438.294272,71500.0,342.75,-6.625,-0.0625,image36.jpg,4,30U
7404.396039,704632636.0341125,5638852350.2746725,71500.0,342.25,-6.5,-0.5625,image37.jpg,4,30U
7604.425362,704632745.2161621,5638852261.793227,71500.0,341.125,-5.875,-0.875,image38.jpg,4,30U
7804.788383,704632853.668417,5638852191.833061,71500.0,340.625,-4.9375,-0.75,image39.jpg,4,30U
8005.699268,704632974.5785704,5638852103.813746,71500.0,340.375,-4.375,1.0,image40.jpg,4,30U
8205.75583,704633072.0329738,5638852014.859065,71500.0,339.9375,-5.9375,0.25,image41.jpg,4,30U
8405.861351,704633191.4830961,5638851963.893426,71500.0,340.5,-6.0,0.0625,image42.jpg,4,30U
8605.664737,704633300.6651651,5638851875.411991,71500.0,340.375,-3.875,0.0,image43.jpg,4,30U
8804.944684,704633432.5665917,5638851806.375812,71500.0,341.0,-4.25,1.6875,image44.jpg,4,30U
9005.04307,704633530.0276058,5638851717.432533,71500.0,341.5,-5.875,0.1875,image45.jpg,4,30U
9205.618278,704633651.6609858,5638851610.880562,71500.0,343.75,-6.3125,-0.75,image46.jpg,4,30U
9406.190309,704633773.301404,5638851504.328871,71400.0,344.875,-5.3125,0.8125,image47.jpg,4,30U
9606.253903,704633881.7536889,5638851434.368726,71400.0,345.4375,-4.125,0.6875,image48.jpg,4,30U
9806.452132,704633955.7585241,5638851344.5012,71400.0,346.3125,-3.1875,0.25,image49.jpg,4,30U
10005.595413,704634064.9406171,5638851256.019782,71400.0,347.5625,-5.6875,1.3125,image50.jpg,4,30U
10205.489371,704634114.0362552,5638851202.281951,71400.0,349.5,-6.1875,2.0,image51.jpg,4,30U
10405.49458,704634272.3073982,5638851060.051311,71400.0,350.8125,-5.75,3.125,image52.jpg,4,30U
10606.43109,704634358.7705841,5638850952.113528,71400.0,352.0625,-4.75,1.5625,image53.jpg,4,30U
10805.82359,704634432.7754338,5638850862.246009,71400.0,353.625,-2.4375,2.1875,image54.jpg,4,30U
11005.759631,704634519.9688683,5638850735.77583,71400.0,355.3125,-2.8125,1.4375,image55.jpg,4,30U
11205.834683,704634607.1548332,5638850609.316497,71400.0,356.1875,-5.5625,2.0625,image56.jpg,4,30U
11406.028902,704634694.3482755,5638850482.846323,71400.0,359.0,-5.375,0.1875,image57.jpg,4,30U
11606.090621,704634780.8114791,5638850374.908545,71400.0,0.5625,-6.625,2.875,image58.jpg,4,30U
11806.24786,704634869.4579421,5638850211.384425,71400.0,2.125,-5.375,1.875,image59.jpg,4,30U
12006.199839,704634955.9211533,5638850103.446649,71400.0,3.6875,-3.75,4.5,image60.jpg,4,30U
12206.3251,704635031.38651,5638849976.514351,71400.0,3.9375,-3.5625,4.0,image61.jpg,4,30U
12406.374943,704635106.8514339,5638849849.593171,71300.0,3.125,-4.0625,2.75,image62.jpg,4,30U
12606.41286,704635217.4940671,5638849724.0469885,71300.0,2.9375,-7.1875,6.3125,image63.jpg,4,30U
12806.53687,704635306.1475884,5638849560.523153,71300.0,2.8125,-8.8125,5.5625,image64.jpg,4,30U
13006.599995,704635394.794078,5638849396.999043,71300.0,5.1875,-5.0625,7.6875,image65.jpg,4,30U
13207.550568,704635481.9875592,5638849270.528882,71200.0,6.5625,-6.25,10.5,image66.jpg,4,30U
13407.848224,704635569.9108502,5638849125.537445,71200.0,8.4375,-7.3125,10.625,image67.jpg,4,30U
13607.94062,704635612.3892614,5638848941.632975,71200.0,11.125,-7.5625,9.9375,image68.jpg,4,30U
13808.00161,704635699.5752795,5638848815.173658,71200.0,13.125,-8.6875,11.8125,image69.jpg,4,30U
14008.233693,704635776.5007261,5638848651.1877,71200.0,16.4375,-4.125,8.625,image70.jpg,4,30U
14207.117287,704635805.7980248,5638848503.875047,71200.0,19.0,-2.125,11.1875,image71.jpg,4,30U
14407.380932,704635846.0857086,5638848375.56776,71100.0,19.4375,-3.875,9.9375,image72.jpg,4,30U
14608.006088,704635901.0154499,5638848173.592753,71100.0,20.0,-5.5,8.3125,image73.jpg,4,30U
14808.525463,704635942.0333842,5638848026.753073,71100.0,20.875,-3.9375,7.25,image74.jpg,4,30U
15008.51937,704635973.5205545,5638847823.865476,71100.0,22.375,-5.0,5.25,image75.jpg,4,30U
15208.479682,704635991.812529,5638847657.5691395,71100.0,23.875,-3.9375,5.8125,image76.jpg,4,30U
15407.510828,704635974.934258,5638847489.88696,71100.0,25.5,-3.1875,5.375,image77.jpg,4,30U
15607.764161,704635968.3169996,5638847359.720308,71100.0,27.1875,-3.5625,5.75,image78.jpg,4,30U
15808.142286,704636021.7932942,5638847194.810367,71100.0,28.3125,-3.8125,6.3125,image79.jpg,4,30U
16008.772234,704636017.366339,5638847009.05765,71100.0,29.875,-3.9375,4.5,image80.jpg,4,30U
16208.764786,704636071.5724447,5638846825.626432,71000.0,31.125,-2.5,3.625,image81.jpg,4,30U
16408.909577,704636123.5886909,5638846697.770163,71000.0,31.0,-2.875,4.625,image82.jpg,4,30U
16608.396504,704636153.608778,5638846531.935957,70900.0,29.6875,-2.875,6.8125,image83.jpg,4,30U
16808.107598,704636138.1905602,5638846327.200111,70900.0,31.5,-4.0625,4.6875,image84.jpg,4,30U
17008.041504,704636155.7527314,5638846179.425051,70900.0,34.3125,-6.375,6.3125,image85.jpg,4,30U
17208.67114,704636140.3345113,5638845974.689203,70900.0,33.1875,-5.9375,5.5,image86.jpg,4,30U
17408.350879,704636102.1903149,5638845750.496697,70900.0,34.4375,-3.9375,4.375,image87.jpg,4,30U
17608.306973,704636075.0439795,5638845545.298716,70900.0,31.1875,-2.6875,5.375,image88.jpg,4,30U
17808.403014,704636092.6131846,5638845397.523933,70900.0,28.9375,-3.75,5.4375,image89.jpg,4,30U
18008.45791,704636132.9008915,5638845269.21665,70900.0,28.3125,-4.625,4.375,image90.jpg,4,30U
18208.488587,704636139.4717958,5638845102.458458,70900.0,29.3125,-5.0625,4.5,image91.jpg,4,30U
18408.70817,704636158.5010597,5638844917.630007,70900.0,26.6875,-6.4375,4.0,image92.jpg,4,30U
18608.685462,704636178.2530955,5638844714.280001,70900.0,24.0625,-4.6875,3.0,image93.jpg,4,30U
18808.618066,704636277.1747733,5638844588.271983,70800.0,22.875,-3.3125,1.375,image94.jpg,4,30U
19008.780931,704636320.3830389,5638844385.846243,70800.0,23.5,-5.0,2.3125,image95.jpg,4,30U
19208.895983,704636386.3106905,5638844202.865766,70800.0,23.6875,-4.4375,1.3125,image96.jpg,4,30U
19409.046451,704636381.8837345,5638844017.1130495,70700.0,23.8125,-5.375,0.3125,image97.jpg,4,30U
19609.240149,704636425.8222538,5638843796.154915,70700.0,24.3125,-5.125,0.5,image98.jpg,4,30U
19809.931086,704636433.1229736,5638843610.875447,70700.0,25.1875,-4.25,0.0625,image99.jpg,4,30U
20010.332388,704636510.0485035,5638843446.8895,70700.0,24.4375,-4.0625,0.0625,image100.jpg,4,30U
20210.180045,704636576.7134532,5638843245.376907,70600.0,23.1875,-4.5,-0.1875,image101.jpg,4,30U
20410.306763,704636594.2752001,5638843097.6129675,70600.0,22.0,-3.0625,-1.625,image102.jpg,4,30U
20609.464315,704636626.4926515,5638842876.19298,70600.0,20.9375,-4.8125,-1.1875,image103.jpg,4,30U
20809.390305,704636633.7938143,5638842690.902395,70600.0,21.125,-5.125,-1.0625,image104.jpg,4,30U
21009.752596,704636721.7101948,5638842545.910698,70600.0,22.625,-4.75,-0.5,image105.jpg,5,30U
21210.642023,704636753.1974063,5638842343.023106,70600.0,22.3125,-4.125,-1.625,image106.jpg,5,30U
21410.565617,704636782.4877142,5638842195.71018,70600.0,22.5,-4.375,-0.5625,image107.jpg,5,30U
21610.6077,704636848.4149622,5638842012.740826,70500.0,22.3125,-4.75,-1.3125,image108.jpg,5,30U
21810.64619,704636879.1723694,5638841828.374512,70500.0,22.625,-5.0,-0.125,image109.jpg,2,30U
22009.89369,704636933.3719435,5638841644.931908,70500.0,22.75,-5.0625,0.0,image110.jpg,5,30U
22209.948377,704636950.9407364,5638841497.168244,70500.0,22.4375,-4.6875,0.4375,image111.jpg,5,30U
22410.529835,704637005.1473522,5638841313.725918,70500.0,22.3125,-4.375,1.8125,image112.jpg,5,30U
22611.043325,704637046.8956008,5638841148.353851,70600.0,22.0,-5.3125,0.75,image113.jpg,5,30U
22811.154158,704637101.824998,5638840946.389973,70500.0,22.5,-5.0625,1.3125,image114.jpg,5,30U
23011.293898,704637098.1348984,5638840742.116259,70500.0,23.0625,-4.125,1.375,image115.jpg,5,30U
23210.627283,704637153.0647366,5638840540.141261,70500.0,22.0625,-5.4375,1.9375,image116.jpg,5,30U
23410.382283,704637195.5428063,5638840356.247922,70400.0,20.6875,-3.625,2.4375,image117.jpg,5,30U
23610.500773,704637261.4775608,5638840173.267733,70400.0,19.375,-3.25,3.125,image118.jpg,5,30U
23811.321814,704637317.1372204,5638839952.771462,70400.0,18.0625,-3.4375,3.25,image119.jpg,5,30U
24010.611554,704637358.8854853,5638839787.399399,70400.0,17.125,-3.875,3.625,image120.jpg,5,30U
24210.578376,704637424.0900009,5638839622.951606,70400.0,16.6875,-3.0625,3.5625,image121.jpg,5,30U
24410.751866,704637502.4756706,5638839421.912001,70300.0,16.625,-3.3125,2.4375,image122.jpg,5,30U
24610.780147,704637546.414258,5638839200.953875,70300.0,15.9375,-2.375,2.5,image123.jpg,5,30U
24810.846032,704637599.8836234,5638839036.043671,70300.0,16.1875,-1.5,4.375,image124.jpg,5,30U
25011.081762,704637643.8222147,5638838815.085546,70300.0,16.6875,-2.4375,1.25,image125.jpg,5,30U
25211.157491,704637712.6775632,5638838557.986907,70300.0,19.9375,-3.5,1.75,image126.jpg,5,30U
25411.325251,704637742.6977211,5638838392.152709,70300.0,22.25,-3.5625,1.9375,image127.jpg,5,30U
25611.174001,704637785.9060723,5638838189.726979,70300.0,21.4375,-3.25,1.4375,image128.jpg,5,30U
25811.342178,704637840.1127384,5638838006.284661,70300.0,20.625,-4.125,1.8125,image129.jpg,5,30U
26011.281657,704637952.215727,5638837843.684861,70200.0,19.375,-3.5625,1.6875,image130.jpg,5,30U
26211.322803,704638009.3354955,5638837586.134929,70200.0,17.25,-3.1875,3.3125,image131.jpg,5,30U
26412.281501,704638053.2741121,5638837365.176807,70200.0,16.1875,-3.125,1.6875,image132.jpg,5,30U
26612.386657,704638119.9387358,5638837163.675351,70100.0,15.0625,-3.125,0.125,image133.jpg,5,30U
26812.461917,704638199.0547118,5638836944.103362,70100.0,16.3125,-3.0625,0.9375,image134.jpg,5,30U
27012.734573,704638207.0861688,5638836740.280386,70100.0,17.4375,-3.625,-1.4375,image135.jpg,5,30U
27211.630302,704638250.294545,5638836537.85466,70100.0,16.6875,-2.8125,-2.625,image136.jpg,5,30U
27411.713167,704638327.9504671,5638836355.336342,70100.0,15.3125,-2.6875,-1.1875,image137.jpg,5,30U
27612.085354,704638427.5951161,5638836210.806808,70100.0,15.75,-2.75,-1.75,image138.jpg,5,30U
27812.97426,704638505.2510465,5638836028.288492,70100.0,17.1875,-5.5625,0.0625,image139.jpg,5,30U
28013.200562,704638549.1896905,5638835807.330374,70100.0,15.0625,-3.75,-5.375,image140.jpg,5,30U
28212.911448,704638581.4002028,5638835585.91012,70100.0,17.625,-3.625,-2.0,image141.jpg,5,30U
28413.054573,704638648.7951179,5638835365.876277,70000.0,15.25,-2.5625,-2.875,image142.jpg,5,30U
28612.09926,704638713.2624271,5638835219.960613,70100.0,15.3125,-2.625,-1.6875,image143.jpg,5,30U
28812.178375,704638804.1065837,5638835000.85077,70000.0,14.5625,-3.625,-1.1875,image144.jpg,5,30U
29012.57327,704638880.3020334,5638834855.397245,70000.0,14.875,-5.125,-1.75,image145.jpg,5,30U
29213.278583,704638955.7676728,5638834728.464999,70000.0,15.0625,-4.9375,-0.375,image146.jpg,5,30U
29413.336968,704639019.5051806,5638834601.070615,70000.0,14.1875,-4.6875,-2.625,image147.jpg,5,30U
29613.427801,704639097.1607141,5638834418.563425,70000.0,15.125,-6.6875,-0.0625,image148.jpg,5,30U
29813.167176,704639138.1792456,5638834271.712649,70000.0,19.875,-5.5,0.25,image149.jpg,2,30U
30012.638635,704639193.8460597,5638834051.216675,70000.0,19.6875,-4.1875,0.6875,image150.jpg,5,30U
30212.69728,704639257.5831422,5638833923.833412,69900.0,19.875,-4.25,2.3125,image151.jpg,5,30U
30413.379364,704639323.5109912,5638833740.852969,69900.0,18.0625,-4.3125,1.9375,image152.jpg,5,30U
30612.851239,704639389.4458812,5638833557.872804,69900.0,16.6875,-2.5,3.625,image153.jpg,5,30U
30812.923166,704639420.926178,5638833354.984948,69900.0,14.4375,-3.9375,0.8125,image154.jpg,2,30U
31013.017541,704639509.5800602,5638833191.461176,69900.0,14.5,-3.125,-3.1875,image155.jpg,5,30U
31213.06379,704639587.236065,5638833008.942875,69800.0,12.0625,-6.125,-0.0625,image156.jpg,5,30U
31413.148009,704639643.6256891,5638832769.925354,69800.0,10.0625,-5.125,-2.375,image157.jpg,5,30U
31613.319832,704639753.5384989,5638832662.91165,69800.0,5.4375,-5.1875,-0.75,image158.jpg,5,30U
31813.286082,704639843.652915,5638832462.323098,69800.0,3.0625,-4.125,-1.125,image159.jpg,5,30U
32013.355457,704639940.3770807,5638832391.912046,69800.0,2.1875,-2.5,-3.125,image160.jpg,5,30U
32213.425613,704640017.3028529,5638832227.926145,69800.0,2.8125,-0.9375,-7.6875,image161.jpg,5,30U
32413.534988,704640114.7647562,5638832138.971863,69800.0,4.75,-0.3125,1.9375,image162.jpg,5,30U
32613.473373,704640236.3986937,5638832032.4200325,69800.0,3.75,-4.5625,-1.4375,image163.jpg,2,30U
32813.672592,704640266.4259855,5638831866.586126,69800.0,5.375,-5.9375,-2.4375,image164.jpg,2,30U
33014.383738,704640399.7880734,5638831760.496442,69800.0,4.0625,-3.9375,0.375,image165.jpg,5,30U
33214.711602,704640442.9965569,5638831558.070731,69800.0,0.875,-3.75,-6.6875,image166.jpg,5,30U
33414.902227,704640560.9871299,5638831544.158916,69700.0,359.625,-2.1875,-1.1875,image167.jpg,5,30U
33615.027748,704640636.4524132,5638831417.23781,69700.0,0.0625,-0.1875,-5.0625,image168.jpg,5,30U
33814.344831,704640758.0863773,5638831310.685991,69700.0,0.6875,-1.0,0.3125,image169.jpg,5,30U
34014.066029,704640871.6501014,5638831111.021462,69600.0,4.5625,-3.5625,2.5625,image170.jpg,5,30U
34214.233737,704640957.3834581,5638831021.616171,69600.0,7.5,-2.6875,2.3125,image171.jpg,5,30U
34414.855508,704641057.7585323,5638830858.554289,69500.0,10.625,-5.9375,0.8125,image172.jpg,2,30U
34615.239154,704641041.6105705,5638830672.339703,69500.0,8.4375,-6.0,4.625,image173.jpg,2,30U
34815.49082,704641015.1945474,5638830448.609306,69500.0,8.3125,-4.8125,-1.0,image174.jpg,2,30U
35015.340404,704641150.0167686,5638830305.46597,69500.0,7.375,-4.375,-0.375,image175.jpg,2,30U
35214.623164,704641204.9534329,5638830103.502408,69400.0,7.75,-3.5625,-2.8125,image176.jpg,2,30U
35414.547851,704641267.230958,5638830013.161718,69400.0,7.75,-2.0625,-2.75,image177.jpg,2,30U
35615.14556,704641284.7998791,5638829865.398068,69400.0,8.625,-3.25,-1.8125,image178.jpg,2,30U
35815.689466,704641334.626034,5638829793.127906,69300.0,12.875,-3.375,-3.6875,image179.jpg,2,30U
36015.699466,704641384.4447188,5638829720.868586,69300.0,18.9375,-5.3125,-0.4375,image180.jpg,2,30U
36216.075507,704641437.9213108,5638829555.9586935,69300.0,18.1875,-4.75,-2.6875,image181.jpg,2,30U
36415.771966,704641545.6438725,5638829504.531089,69300.0,17.0625,-3.875,-1.375,image182.jpg,2,30U
36615.34384,704641561.7527156,5638829393.821109,69300.0,14.9375,-4.4375,-0.4375,image183.jpg,2,30U
36815.02733,704641684.847268,5638829250.204525,69200.0,12.6875,-3.625,-0.0625,image184.jpg,2,30U
