Frame,Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
144,9722.819215,704049894.0044533,5638923693.231949,88893.81208165368,5.4375,-2.5625,8.8125,0.4549019635,7.0,5.0,30U,704049.8940044534,5638923.693231949,88893.81208165368,-70.8624097688712,-68.51282415116611
145,9786.801715,704049908.4054533,5638923651.732416,88890.64519975951,5.4375,-2.6875,8.75,0.4627451003,8.0,,,704049.9084054535,5638923.651732416,88890.64519975951,-70.74372960387473,-68.51282415116611
146,9851.548954,704049924.0406376,5638923606.975863,88888.93251766513,5.5625,-2.375,8.5,0.4627451003,6.0,5.0,30U,704049.9240406379,5638923.606975861,88888.93251766513,-70.30609793087558,-68.63782415116611
147,9926.376246,704049942.3061035,5638923555.945282,88886.34503724187,6.1875,-2.0625,9.0625,0.470588237,5.0,5.0,30U,704049.9423061037,5638923.555945281,88886.34503724187,-70.23987278810824,-69.26282415116611
148,9988.102964,704049957.1617111,5638923514.591971,88883.69105621256,6.3125,-2.5,8.9375,0.4235294163,4.0,,,704049.9571617113,5638923.5145919705,88883.69105621256,-70.45126385591192,-69.38782415116611
149,10050.909058,704049972.4790653,5638923471.453748,88881.6939035681,6.25,-2.4375,9.25,0.4470588267,6.0,5.0,30U,704049.9724790653,5638923.471453746,88881.6939035681,-70.57110854781087,-69.32532415116611
150,10125.0176,704049990.375177,5638923420.716658,88879.25090215505,6.375,-2.375,8.5625,0.4470588267,7.0,5.0,30U,704049.9903751771,5638923.420716656,88879.25090215504,-70.4861678352139,-69.45032415116611
151,10187.917235,704050005.2429602,5638923378.763523,88876.77717161685,6.6875,-2.5,8.9375,0.4470588267,8.0,,,704050.0052429604,5638923.378763522,88876.77717161685,-70.59668376944404,-69.76282415116611
152,10253.208746,704050020.9287194,5638923334.229623,88874.74768745847,6.625,-2.6875,9.125,0.4156862795,9.0,5.0,30U,704050.0209287195,5638923.334229622,88874.74768745848,-70.61127295658275,-69.70032415116611
153,10319.428693,704050036.691749,5638923289.439949,88872.51670311818,6.75,-2.8125,9.4375,0.4392156899,8.0,5.0,30U,704050.036691749,5638923.289439948,88872.51670311818,-70.75292941971651,-69.82532415116611
154,10389.55786,704050053.1743844,5638923242.233176,88870.85545757992,7.125,-2.75,9.4375,0.4470588267,8.0,,,704050.0531743844,5638923.242233175,88870.85545757992,-70.78442633774773,-70.20032415116611
155,10450.717235,704050067.6343094,5638923200.74624,88869.51406055728,7.625,-2.8125,9.6875,0.4470588267,7.0,5.0,30U,704050.0676343093,5638923.200746239,88869.51406055725,-70.87480091475237,-70.70032415116611
156,10527.556089,704050085.8904338,5638923148.100591,88868.42548948713,8.0,-2.875,10.0,0.4627451003,6.0,5.0,30U,704050.085890434,5638923.14810059,88868.42548948713,-70.76076324134226,-71.07532415116611
157,10588.336714,704050100.0419616,5638923107.552369,88867.23073607823,8.375,-3.0625,9.8125,0.4156862795,6.0,,,704050.1000419619,5638923.107552367,88867.23073607823,-70.81000810820501,-71.45032415116611
158,10651.678954,704050115.0375963,5638923064.466539,88866.1638929994,8.875,-3.125,9.5,0.4392156899,6.0,5.0,30U,704050.1150375963,5638923.06446654,88866.1638929994,-70.73515415747937,-71.95032415116611
159,10719.348589,704050131.0666752,5638923018.604489,88865.36653641541,9.125,-3.0625,9.9375,0.4156862795,5.0,5.0,30U,704050.1310666751,5638923.018604489,88865.36653641541,-70.83981732637432,-72.20032415116611
160,10787.318277,704050146.9518683,5638922972.886152,88864.83865366073,8.9375,-2.9375,9.9375,0.4392156899,5.0,,,704050.1469518683,5638922.972886153,88864.83865366073,-70.87102731480718,-72.01282415116611
161,10851.53911,704050162.0936074,5638922929.230828,88864.37911729931,9.5,-2.75,10.4375,0.4392156899,5.0,5.0,30U,704050.1620936074,5638922.929230825,88864.37911729931,-70.86114641951667,-72.57532415116611
162,10922.836297,704050179.0174725,5638922880.464594,88863.66328200961,9.5,-2.6875,10.375,0.4470588267,5.0,2.0,30U,704050.1790174725,5638922.880464594,88863.66328200961,-70.90952958791041,-72.57532415116611
163,10986.048902,704050193.7477224,5638922837.903278,88863.23494955632,9.625,-2.875,10.375,0.4470588267,7.0,,,704050.1937477223,5638922.837903278,88863.23494955631,-70.93866135863243,-72.70032415116611
164,11051.076714,704050209.1320505,5638922793.378848,88862.83274405419,9.5625,-2.9375,10.8125,0.4235294163,4.0,5.0,30U,704050.2091320506,5638922.793378847,88862.83274405419,-70.9088853052611,-72.63782415116611
165,11120.227495,704050225.5966394,5638922745.808094,88862.60126042055,9.4375,-2.8125,11.0,0.4627451003,4.0,5.0,30U,704050.2255966394,5638922.745808094,88862.60126042055,-70.80433162939897,-72.51282415116611
166,11194.690568,704050243.4635065,5638922694.488949,88862.16618020176,9.0625,-3.0,10.6875,0.4156862795,2.0,,,704050.2434635066,5638922.694488948,88862.16618020176,-70.82755355649738,-72.13782415116611
167,11260.593016,704050259.303042,5638922648.933471,88861.81501180242,8.9375,-3.125,10.625,0.4470588267,0.0,5.0,30U,704050.2593030422,5638922.64893347,88861.81501180242,-70.68597354336652,-72.01282415116611
168,11318.076818,704050273.0737176,5638922609.641433,88861.20533704039,9.1875,-3.25,10.6875,0.4470588267,0.0,5.0,30U,704050.2730737176,5638922.609641433,88861.2053370404,-70.64636288412561,-72.26282415116611
169,11389.614578,704050290.5288355,5638922559.946625,88860.2716699689,8.5625,-3.5625,11.125,0.4470588267,0.0,,,704050.2905288355,5638922.5599466255,88860.2716699689,-70.6510760105433,-71.63782415116611
170,11450.377026,704050305.3349532,5638922517.782439,88859.49402672147,8.375,-3.5,11.25,0.4156862795,2.0,5.0,30U,704050.3053349532,5638922.517782442,88859.49402672147,-70.67811370820237,-71.45032415116611
171,11522.48437,704050323.1321636,5638922467.023753,88858.46259686619,8.0625,-3.5,11.5625,0.4156862795,0.0,5.0,30U,704050.3231321635,5638922.467023753,88858.46259686619,-70.55194887872733,-71.13782415116611
172,11587.496141,704050339.1628379,5638922421.62375,88857.27345439965,7.9375,-3.6875,11.8125,0.4549019635,0.0,,,704050.3391628378,5638922.421623749,88857.27345439965,-70.6389191019241,-71.01282415116611
173,11653.269474,704050355.4933361,5638922375.150052,88856.23365503884,7.3125,-3.625,11.4375,0.4627451003,0.0,5.0,30U,704050.3554933362,5638922.37515005,88856.23365503884,-70.55194124521609,-70.38782415116611
174,11719.91161,704050372.1339455,5638922328.022685,88855.03850052503,7.0,-3.875,11.0625,0.4470588267,0.0,5.0,30U,704050.372133945,5638922.328022689,88855.03850052501,-70.4855089469358,-70.07532415116611
175,11785.499318,704050388.5186564,5638922281.7908535,88853.70810502247,6.8125,-3.6875,11.875,0.4156862795,0.0,,,704050.3885186567,5638922.2817908535,88853.70810502247,-70.60326533375729,-69.88782415116611
176,11853.861193,704050405.7126887,5638922232.956872,88852.55464656671,6.3125,-3.625,12.4375,0.4549019635,0.0,5.0,30U,704050.4057126883,5638922.232956871,88852.55464656671,-70.54395459736213,-69.38782415116611
177,11916.980516,704050421.5454912,5638922188.137169,88851.28372653264,6.0,-3.875,11.9375,0.470588237,1.0,5.0,30U,704050.4215454913,5638922.188137173,88851.28372653264,-70.50176031636289,-69.07532415116611
178,11987.759057,704050439.4393,5638922137.60168,88849.91830846321,5.625,-3.625,11.6875,0.4784313738,0.0,,,704050.4394392999,5638922.137601682,88849.91830846321,-70.52314734090442,-68.70032415116611
179,12051.402026,704050455.5472846,5638922092.055669,88848.7311659738,5.625,-3.6875,11.625,0.4784313738,0.0,5.0,30U,704050.4555472847,5638922.092055667,88848.7311659738,-70.50420707688795,-68.70032415116611
180,12117.861089,704050472.4387043,5638922044.344641,88847.462146519,5.125,-4.0625,12.0,0.4784313738,0.0,5.0,30U,704050.4724387042,5638922.044344637,88847.462146519,-70.48216951210065,-68.20032415116611
181,12187.304526,704050490.1284021,5638921994.439831,88846.12523039292,4.75,-3.75,12.0,0.4862745106,2.0,,,704050.4901284026,5638921.994439831,88846.12523039292,-70.50746557471945,-67.82532415116611
182,12250.275151,704050506.1892651,5638921949.066568,88844.95713160365,4.5,-4.4375,11.625,0.4627451003,0.0,5.0,30U,704050.5061892652,5638921.949066566,88844.95713160365,-70.52301100412967,-67.57532415116611
183,12317.336453,704050523.3506643,5638921900.542343,88843.74072854596,4.125,-4.25,11.4375,0.4784313738,0.0,5.0,30U,704050.5233506643,5638921.900542345,88843.74072854598,-70.58308818446443,-67.20032415116611
184,12389.023172,704050541.7051513,5638921848.471015,88842.4937198276,3.875,-4.75,10.9375,0.4941176474,0.0,,,704050.5417051516,5638921.848471016,88842.4937198276,-70.62114393165814,-66.95032415116611
185,12454.975672,704050558.6169287,5638921800.390798,88841.41166937222,3.5625,-4.4375,10.6875,0.4941176474,2.0,5.0,30U,704050.5586169289,5638921.800390796,88841.41166937222,-70.53659333308315,-66.63782415116611
186,12517.282599,704050574.5970241,5638921755.172639,88840.24322581428,3.5625,-4.5,11.0625,0.4549019635,7.0,2.0,30U,704050.5745970241,5638921.755172639,88840.24322581428,-70.62220863462795,-66.63782415116611
187,12585.94713,704050592.2401472,5638921705.010225,88839.16949157309,3.25,-5.125,12.0,0.4862745106,11.0,,,704050.5922401471,5638921.705010224,88839.16949157309,-70.77347529353665,-66.32532415116611
188,12658.38838,704050610.941079,5638921651.388404,88838.33255043141,2.75,-4.4375,11.5,0.4862745106,13.0,2.0,30U,704050.6109410792,5638921.651388404,88838.3325504314,-70.77781127298238,-65.82532415116611
189,12725.32812,704050628.1583716,5638921602.008659,88837.39057606454,2.875,-4.1875,11.5,0.4627451003,12.0,2.0,30U,704050.6281583713,5638921.6020086575,88837.39057606454,-70.70968989110997,-65.95032415116611
190,12788.298849,704050644.3465574,5638921555.757381,88836.62143542276,3.8125,-4.1875,10.8125,0.5254902244,11.0,,,704050.6443465572,5638921.555757381,88836.62143542276,-70.85546844469712,-66.88782415116611
191,12854.570932,704050661.4665889,5638921506.441672,88836.05860834132,4.625,-4.0,10.9375,0.5333333611,11.0,2.0,30U,704050.6614665887,5638921.506441674,88836.05860834132,-70.86292611854117,-67.70032415116611
