Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],GPS quality
118.96151,704051159875.0946,5638924410187.813,86900000.0,0.0,-7.3125,0.9375,0.0549019612,0.0, 5.0
185.997239,704051162059.198,5638924354601.661,86900000.0,0.0,-7.3125,0.9375,0.0392156877,1.0, 5.0
249.825729,704051162059.198,5638924354601.661,86900000.0,0.0,-7.3125,0.9375,-0.0156862754,0.0, 5.0
308.337708,,,,0.0,-7.3125,0.9375,0.0392156877,0.0, 
381.004583,704051162787.2323,5638924336072.942,86900000.0,0.0,-7.3125,0.9375,0.0392156877,0.0, 5.0
444.814635,704051162059.198,5638924354601.661,86900000.0,0.0,-7.3125,0.9375,0.0392156877,0.0, 5.0
511.936406,,,,0.0,-7.3125,0.875,0.0549019612,0.0, 
576.7425,704051161331.1636,5638924373130.378,86900000.0,359.9375,-7.3125,0.9375,0.0549019612,0.0, 5.0
645.812135,,,,359.9375,-7.3125,0.9375,0.0549019612,1.0, 
710.779687,704051162059.198,5638924354601.661,86900000.0,359.9375,-7.3125,0.9375,-0.0156862754,0.0, 5.0
778.894427,704051162059.198,5638924354601.661,86900000.0,359.9375,-7.3125,0.9375,0.0392156877,0.0, 5.0
847.51526,704051162059.198,5638924354601.661,86900000.0,359.9375,-7.3125,0.9375,0.0392156877,0.0, 5.0
911.093437,,,,359.9375,-7.3125,0.9375,0.0392156877,0.0, 
980.031354,704051162059.198,5638924354601.661,86900000.0,359.9375,-7.3125,0.9375,-0.0078431377,0.0, 5.0
1047.155051,704051162059.198,5638924354601.661,86900000.0,359.9375,-7.3125,0.9375,0.0392156877,0.0, 5.0
1110.642499,,,,359.9375,-7.3125,0.9375,0.0549019612,1.0, 
1178.132395,704051162059.198,5638924354601.661,86900000.0,359.9375,-7.3125,0.9375,0.0549019612,0.0, 5.0
1251.237187,704051162059.198,5638924354601.661,86900000.0,359.9375,-7.3125,0.9375,0.0549019612,0.0, 5.0
1309.797239,,,,359.9375,-7.3125,0.9375,0.0392156877,0.0, 
1380.716093,704051150333.6454,5638924354140.9375,86900000.0,359.9375,-7.3125,0.9375,0.0392156877,1.0, 5.0
1446.28802,704051162059.198,5638924354601.661,86900000.0,359.9375,-7.3125,0.9375,-0.0156862754,1.0, 5.0
1517.197603,,,,359.9375,-7.3125,0.9375,0.0392156877,0.0, 
1578.305728,704051162059.198,5638924354601.661,86900000.0,359.9375,-7.3125,0.9375,0.0392156877,0.0, 5.0
1646.987187,704051162059.198,5638924354601.661,86900000.0,0.0625,-7.3125,1.0625,0.0549019612,0.0, 5.0
1713.755312,,,,359.9375,-7.0625,1.0625,0.0549019612,1.0, 
1778.595676,704051149605.6108,5638924372669.654,86900000.0,0.0,-7.125,1.0625,0.0549019612,0.0, 5.0
1848.850051,704051162059.198,5638924354601.661,86900000.0,0.125,-7.3125,1.0,0.0549019612,1.0, 5.0
1914.342812,,,,0.0625,-7.25,1.0,-0.0470588244,0.0, 
1979.731093,704051150333.6454,5638924354140.9375,86900000.0,0.0,-7.25,0.9375,0.0392156877,0.0, 5.0
2045.140103,704051149605.6108,5638924372669.654,86900000.0,0.0,-7.25,0.9375,0.0392156877,0.0, 5.0
2113.766718,,,,0.0,-7.25,0.9375,0.0392156877,0.0, 
2177.431666,704051162059.198,5638924354601.661,86900000.0,0.125,-7.25,1.0625,-0.0549019612,1.0, 5.0
2246.292655,704051149605.6108,5638924372669.654,86900000.0,359.9375,-7.0,1.0625,0.0549019612,0.0, 5.0
2310.714322,,,,0.0,-7.125,1.0625,0.0549019612,0.0, 
2382.412082,704051149605.6108,5638924372669.654,86900000.0,0.125,-7.25,1.0625,0.0549019612,0.0, 5.0
2448.986093,704051162059.198,5638924354601.661,86900000.0,0.0625,-7.1875,1.0,0.0392156877,0.0, 5.0
2513.403853,,,,0.125,-7.1875,1.125,0.0392156877,0.0, 
2580.26427,704051150333.6454,5638924354140.9375,86900000.0,359.9375,-6.875,1.1875,0.0392156877,0.0, 5.0
2652.222238,704051162059.198,5638924354601.661,86900000.0,0.0,-7.0625,1.125,0.0078431377,1.0, 5.0
2712.918124,,,,0.125,-7.25,1.125,0.0392156877,0.0, 
2777.620624,704051162059.198,5638924354601.661,86900000.0,0.0625,-7.1875,1.0,0.0549019612,0.0, 5.0
2848.040207,704051162059.198,5638924354601.661,86900000.0,359.9375,-7.1875,1.0,0.0549019612,0.0, 5.0
2917.001822,,,,0.0,-7.125,1.0,0.0549019612,1.0, 
2983.329686,704051162059.198,5638924354601.661,86900000.0,0.0,-7.125,1.0,0.0392156877,0.0, 5.0
3048.860103,704051162059.198,5638924354601.661,86900000.0,0.0,-7.125,1.0,0.0392156877,0.0, 5.0
3113.116665,,,,0.0,-7.125,1.0,0.0078431377,0.0, 
3183.001144,704051162059.198,5638924354601.661,86900000.0,0.0,-7.125,1.0,0.0392156877,0.0, 5.0
3246.878853,704051162059.198,5638924354601.661,86900000.0,0.0,-7.125,1.0,0.0392156877,0.0, 5.0
