Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
11596.928746,704050965.7478838,5638925146.832231,86702.01903479309,15.3125,-1.5,10.125,0.6745098233,18.0,image172.jpg,5.0,30U,704050.9657478837,5638925.146832234,86702.01903479309,-88.10805575500808,-73.97226148393531
11661.772131,704050967.8186806,5638925084.142862,86710.66940182519,17.0,-1.3125,9.9375,0.7686274648,18.0,image173.jpg,5.0,30U,704050.9678186805,5638925.084142866,86710.66940182519,-87.77393122431658,-75.65976148393531
11733.432131,704050970.4876412,5638925015.48226,86720.57039343975,19.625,-0.9375,10.125,0.7686274648,17.0,image174.jpg,2.0,30U,704050.970487641,5638925.015482262,86720.57039343975,-88.24153850237985,-78.28476148393531
11794.593537,704050972.2755735,5638924957.244532,86727.81854896089,21.3125,-0.6875,10.4375,0.7686274648,17.0,image175.jpg,,,704050.9722755733,5638924.957244532,86727.81854896089,-84.71353380651578,-79.97226148393531
11862.975464,704050978.5729656,5638924889.185923,86738.1592289262,22.875,-0.75,11.0,0.7137255073,17.0,image176.jpg,2.0,30U,704050.9785729655,5638924.889185923,86738.1592289262,-85.68340065584101,-81.53476148393531
11935.503902,704050984.0507625,5638924816.614765,86749.26507895884,25.0625,-0.1875,11.125,0.7686274648,17.0,image177.jpg,2.0,30U,704050.9840507624,5638924.816614766,86749.26507895884,-87.01244369812497,-83.72226148393531
11995.483485,704050987.1736767,5638924756.777358,86757.82795689964,26.5,-0.625,10.6875,0.7686274648,18.0,image178.jpg,,,704050.9871736767,5638924.756777359,86757.82795689964,-84.03729741007646,-85.15976148393531
12068.789631,704050995.0253332,5638924681.603139,86769.31273515937,27.625,0.1875,9.3125,0.7137255073,16.0,image179.jpg,2.0,30U,704050.9950253329,5638924.681603138,86769.31273515937,-86.08483230276812,-86.28476148393531
12129.743329,704050999.300355,5638924619.138546,86779.56474784769,29.75,1.0625,10.8125,0.7686274648,15.0,image180.jpg,2.0,30U,704050.9993003547,5638924.619138546,86779.56474784769,-85.31251153669689,-88.40976148393531
12195.031089,704051004.8095701,5638924551.948999,86790.08530255323,31.0625,0.1875,10.75,0.7764706016,10.0,image181.jpg,,,704051.0048095699,5638924.551949002,86790.08530255323,-83.59656755671818,-89.72226148393531
12266.426089,704051013.1484742,5638924477.64618,86802.183393763,33.3125,0.625,10.875,0.7843137383,-1.0,image182.jpg,2.0,30U,704051.013148474,5638924.47764618,86802.183393763,-84.54966837382898,-91.97226148393533
12331.257027,704051019.6038839,5638924409.989485,86814.08944666198,34.0625,1.0,10.8125,0.7294117808,-8.0,image183.jpg,2.0,30U,704051.0196038838,5638924.409989486,86814.08944666198,-84.23193019353306,-92.72226148393533
12395.651193,704051026.3996024,5638924342.714,86825.6447830763,33.4375,-0.4375,10.0625,0.7843137383,-12.0,image184.jpg,,,704051.0263996021,5638924.3427140005,86825.6447830763,-83.08798857329407,-92.09726148393533
12462.663849,704051034.9219788,5638924272.41245,86838.01160059702,31.625,1.125,8.5,0.7921568751,-15.0,image185.jpg,2.0,30U,704051.0349219786,5638924.27241245,86838.01160059702,-82.37070263643102,-90.28476148393533
12539.457079,704051045.740727,5638924191.644759,86852.14218700175,29.4375,0.375,8.5,0.7921568751,-19.0,image186.jpg,2.0,30U,704051.0457407271,5638924.191644758,86852.14218700175,-84.10343747118526,-88.09726148393531
12594.673277,704051051.6926062,5638924134.015799,86863.01798182378,27.75,-0.25,9.25,0.870588243,-18.0,image187.jpg,,,704051.0516926062,5638924.1340158,86863.01798182378,-81.96795304692671,-86.40976148393531
12663.553381,704051061.9268683,5638924061.489604,86875.7519833983,25.3125,-0.875,9.6875,0.8862745166,-16.0,image188.jpg,2.0,30U,704051.0619268685,5638924.061489604,86875.7519833983,-81.98313200701477,-83.97226148393531
12732.218954,704051072.1223142,5638923989.09988,86888.82726230653,22.6875,-0.75,9.75,0.9098039269,-13.0,image189.jpg,2.0,30U,704051.0721223144,5638923.98909988,86888.82726230653,-82.01758987906584,-81.34726148393531
12796.689579,704051081.6415975,5638923921.215449,86901.31904747187,20.75,-1.5625,9.9375,0.8784313798,-7.0,image190.jpg,,,704051.0816415978,5638923.921215448,86901.31904747187,-81.04976498156896,-79.40976148393531
12865.832026,704051093.1582276,5638923848.0913,86914.19470917813,18.6875,-2.125,9.75,0.9411764741,-6.0,image191.jpg,2.0,30U,704051.0931582275,5638923.8480913015,86914.19470917813,-81.42167844503382,-77.34726148393531
12930.802756,704051103.5134225,5638923779.445109,86926.90335983864,17.5,-1.9375,10.3125,0.980392158,-5.0,image192.jpg,2.0,30U,704051.1035134227,5638923.779445108,86926.90335983864,-80.85957975575724,-76.15976148393531
13000.427495,704051115.3282151,5638923706.014646,86940.33356105888,16.375,-2.8125,10.25,0.9960784316,0.0,image193.jpg,,,704051.115328215,5638923.706014645,86940.33356105888,-80.7797191863271,-75.03476148393531
13064.433016,704051126.3069507,5638923638.381578,86952.4964803999,15.6875,-2.9375,10.375,0.9411764741,1.0,image194.jpg,2.0,30U,704051.1263069507,5638923.638381579,86952.4964803999,-80.58760157446318,-74.34726148393531
13132.085255,704051138.177876,5638923566.771305,86965.40914553341,15.3125,-3.0,10.1875,1.003921628,0.0,image195.jpg,,,704051.1381778759,5638923.566771305,86965.40914553341,-79.73696380026581,-73.97226148393531
13202.727755,704051151.7466888,5638923491.832166,86978.06993173673,14.9375,-3.0625,10.125,1.003921628,1.0,image196.jpg,2.0,30U,704051.1517466889,5638923.491832164,86978.06993173673,-80.41574320549279,-73.59726148393531
13265.441245,704051162.9909106,5638923425.241063,86989.50071967338,14.5,-3.0625,10.0625,1.003921628,0.0,image197.jpg,2.0,30U,704051.1629909108,5638923.425241062,86989.50071967338,-80.3334040472563,-73.15976148393531
13330.90937,704051174.8485385,5638923355.626732,87001.11078079374,14.5,-3.25,9.8125,1.003921628,0.0,image198.jpg,2.0,30U,704051.1748485385,5638923.355626733,87001.11078079374,-79.41784351958847,-73.15976148393531
13409.916714,704051190.5763123,5638923271.441124,87014.39531892793,13.875,-3.75,10.1875,1.003921628,0.0,image199.jpg,,,704051.1905763125,5638923.271441124,87014.39531892793,-79.98470766175132,-72.53476148393531
13472.699995,704051202.3910018,5638923204.541109,87025.09569036136,14.125,-3.4375,10.0625,1.003921628,0.0,image200.jpg,2.0,30U,704051.2023910019,5638923.2045411095,87025.09569036136,-79.63593436365773,-72.78476148393531
13541.663849,704051215.8492353,5638923130.953055,87036.5173313188,13.625,-3.75,10.0625,1.003921628,1.0,image201.jpg,2.0,30U,704051.2158492353,5638923.130953057,87036.5173313188,-79.22837574084866,-72.28476148393531
13614.852703,704051230.7093766,5638923052.843323,87048.5871812483,13.3125,-3.125,9.4375,1.003921628,0.0,image202.jpg,,,704051.2307093765,5638923.052843321,87048.5871812483,-80.1782866284903,-71.97226148393531
13669.535776,704051240.7902633,5638922994.61279,87057.88566545717,13.375,-3.125,9.75,1.003921628,0.0,image203.jpg,2.0,30U,704051.2407902633,5638922.99461279,87057.88566545717,-78.44698911626676,-72.03476148393531
13747.229057,704051257.7387283,5638922911.701153,87069.65702203104,12.875,-2.5,9.75,1.003921628,0.0,image204.jpg,2.0,30U,704051.2577387282,5638922.911701151,87069.65702203104,-78.85889881998497,-71.53476148393531
13813.707703,704051271.6811649,5638922840.9048195,87080.20082842241,12.75,-2.6875,10.0,1.003921628,2.0,image205.jpg,,,704051.2716811646,5638922.840904818,87080.2008284224,-77.86049212778425,-71.40976148393531
13890.140672,704051289.2248018,5638922759.3454895,87091.36975239273,12.0,-3.125,9.6875,1.003921628,4.0,image206.jpg,2.0,30U,704051.2892248018,5638922.759345489,87091.36975239273,-76.30301568946203,-70.65976148393531
14016.042755,704051322.0975658,5638922624.4651375,87107.59009737069,12.0625,-3.125,9.375,1.003921628,9.0,image207.jpg,2.0,30U,704051.3220975656,5638922.62446514,87107.59009737069,-78.16125777987105,-70.72226148393531
14079.357443,704051336.3185686,5638922556.622241,87116.95286592325,12.8125,-3.0,10.0,1.003921628,8.0,image208.jpg,2.0,30U,704051.3363185687,5638922.55662224,87116.95286592325,-78.73448469975841,-71.47226148393531
14134.930724,704051348.212858,5638922496.910119,87125.37829576709,13.25,-2.375,9.75,1.003921628,8.0,image209.jpg,2.0,30U,704051.3482128582,5638922.496910119,87125.37829576709,-77.04819927778556,-71.90976148393531
14218.200099,704051368.8210565,5638922407.302357,87136.39032284066,14.5625,-2.0,9.875,1.003921628,8.0,image210.jpg,,,704051.3688210564,5638922.407302357,87136.39032284066,-78.31577523959436,-73.22226148393531
14271.640724,704051380.716821,5638922349.7801285,87144.05491136506,15.3125,-1.9375,10.375,1.003921628,9.0,image211.jpg,2.0,30U,704051.380716821,5638922.349780131,87144.05491136506,-75.23191318480792,-73.97226148393531
14416.464734,704051421.8437527,5638922193.769142,87160.86944967258,16.3125,-2.0,10.6875,1.003921628,1.0,image212.jpg,2.0,30U,704051.4218437531,5638922.193769143,87160.86944967258,-77.5774381017639,-74.97226148393531
14474.39687,704051435.6197509,5638922131.229747,87168.68865319224,16.5625,-1.75,11.0625,1.003921628,0.0,image213.jpg,2.0,30U,704051.4356197509,5638922.131229745,87168.68865319224,-76.49173607816186,-75.22226148393531
14545.765463,704051454.0813456,5638922054.3805,87177.72522256729,16.75,-2.1875,9.8125,1.003921628,0.0,image214.jpg,2.0,30U,704051.4540813456,5638922.054380501,87177.72522256729,-76.51757026191541,-75.40976148393531
14612.540307,704051471.2837244,5638921982.630515,87186.23061073161,16.5,-2.1875,10.1875,1.003921628,-1.0,image215.jpg,,,704051.4712837244,5638921.982630513,87186.23061073161,-76.36373370115814,-75.15976148393531
14676.173172,704051487.8768479,5638921914.23222,87194.25200968541,16.25,-2.625,10.25,1.003921628,-9.0,image216.jpg,2.0,30U,704051.487876848,5638921.914232219,87194.25200968541,-75.84645636712901,-74.90976148393531
14744.430567,704051506.3352712,5638921841.035728,87202.64173359063,15.75,-3.125,10.8125,1.003921628,-14.0,image217.jpg,2.0,30U,704051.5063352714,5638921.841035728,87202.64173359063,-75.61943038725599,-74.40976148393531
14813.626713,704051525.3302113,5638921766.951031,87210.9220765933,14.5625,-2.6875,10.8125,1.003921628,-19.0,image218.jpg,,,704051.5253302113,5638921.766951029,87210.9220765933,-75.43922004412508,-73.22226148393531
14880.689213,704051544.0003549,5638921695.073576,87218.7651665494,12.125,-3.25,9.8125,1.003921628,-9.0,image219.jpg,2.0,30U,704051.5440003546,5638921.695073578,87218.7651665494,-75.54451468213699,-70.78476148393531
14939.865463,704051560.317635,5638921631.776502,87225.67182738111,10.3125,-2.875,10.5625,1.003921628,5.0,image220.jpg,2.0,30U,704051.560317635,5638921.631776504,87225.67182738111,-74.95504845883335,-68.97226148393531
15008.421974,704051580.020789,5638921558.47342,87233.32594281291,8.375,-3.8125,10.6875,1.003921628,-1.0,image221.jpg,,,704051.5800207887,5638921.558473422,87233.32594281291,-74.80872250188145,-67.03476148393531
15073.859213,704051599.0363379,5638921488.442441,87240.50285435596,7.5625,-3.8125,10.9375,1.003921628,0.0,image222.jpg,2.0,30U,704051.599036338,5638921.488442439,87240.50285435596,-74.29697367797746,-66.22226148393531
15146.280046,704051620.8346633,5638921410.908149,87248.16682699982,7.375,-4.1875,10.5625,1.003921628,0.0,image223.jpg,2.0,30U,704051.6208346633,5638921.410908148,87248.16682699982,-74.39431716219889,-66.03476148393531
15209.965515,704051639.8919,5638921342.678918,87254.94386492255,7.0,-3.625,10.375,1.003921628,2.0,image224.jpg,,,704051.6398919006,5638921.342678921,87254.94386492255,-73.92134329649446,-65.65976148393531
15281.319369,704051661.9586618,5638921266.119806,87262.32333137447,6.25,-4.25,10.6875,1.003921628,0.0,image225.jpg,2.0,30U,704051.6619586617,5638921.266119807,87262.32333137447,-73.97518094723341,-64.90976148393531
15343.593015,704051681.1830552,5638921199.18582,87268.77082240106,6.0,-3.8125,10.875,1.003921628,0.0,image226.jpg,2.0,30U,704051.6811830553,5638921.199185821,87268.77082240106,-72.65183919684995,-64.65976148393531
15481.126713,704051727.4938214,5638921050.938082,87281.81077765596,5.4375,-3.9375,10.9375,1.003921628,1.0,image227.jpg,2.0,30U,704051.7274938214,5638921.050938079,87281.81077765596,-73.5590874018958,-64.09726148393531
15547.925202,704051748.8215088,5638920978.663391,87288.50659904872,4.625,-3.125,10.625,1.003921628,0.0,image228.jpg,2.0,30U,704051.7488215086,5638920.978663394,87288.50659904872,-73.26339235622959,-63.28476148393537
15619.525046,704051772.1806928,5638920900.983535,87295.53944717998,4.375,-4.0,11.25,1.003921628,0.0,image229.jpg,,,704051.7721806928,5638920.900983534,87295.53944717998,-73.13611776754874,-63.03476148393537
15688.195046,704051794.7784181,5638920826.436747,87302.23013062496,4.125,-4.3125,11.5,1.003921628,2.0,image230.jpg,2.0,30U,704051.794778418,5638920.826436747,87302.23013062496,-72.22150162280212,-62.78476148393537
15813.581817,704051838.3242371,5638920690.632324,87313.60163824345,3.5,-4.125,10.625,1.003921628,1.0,image231.jpg,2.0,30U,704051.838324237,5638920.690632326,87313.60163824345,-73.01942257759367,-62.15976148393537
15877.194004,704051859.4972432,5638920621.294487,87319.48249564487,3.375,-4.375,11.3125,1.003921628,9.0,image232.jpg,2.0,30U,704051.8594972428,5638920.621294486,87319.48249564487,-72.87246324168495,-62.03476148393537
15943.599577,704051881.7917373,5638920548.948839,87325.41039276983,2.5625,-4.375,11.5625,1.003921628,14.0,image233.jpg,2.0,30U,704051.8817917373,5638920.548948836,87325.41039276983,-72.90951986353002,-61.22226148393537
16007.728692,704051903.2503176,5638920479.155375,87330.97034078072,2.5,-4.0625,11.25,1.003921628,15.0,image234.jpg,,,704051.9032503173,5638920.479155371,87330.97034078072,-72.59260061717953,-61.15976148393537
16072.163536,704051925.2139809,5638920409.10094,87336.47850922724,2.9375,-3.5,10.5625,1.003921628,12.0,image235.jpg,2.0,30U,704051.9252139811,5638920.40910094,87336.47850922724,-72.29468850650096,-61.59726148393537
16145.281765,704051950.5590018,5638920329.709904,87342.55182436501,5.5625,-3.5,11.625,1.003921628,9.0,image236.jpg,2.0,30U,704051.9505590014,5638920.329709907,87342.55182436501,-72.37808061572628,-64.22226148393531
16210.613379,704051973.0873545,5638920258.785695,87347.83957100172,7.3125,-2.6875,12.1875,1.003921628,0.0,image237.jpg,,,704051.9730873542,5638920.258785694,87347.83957100174,-72.1166509126632,-65.97226148393531
16274.619004,704051995.4917336,5638920189.351414,87352.96180585524,8.375,-2.25,11.4375,1.003921628,0.0,image238.jpg,2.0,30U,704051.9954917327,5638920.189351418,87352.96180585524,-71.7782666175674,-67.03476148393531
16347.504369,704052021.5096523,5638920110.318519,87358.68653856158,7.9375,-2.5625,10.4375,1.003921628,0.0,image239.jpg,2.0,30U,704052.0215096521,5638920.110318516,87358.68653856158,-71.82688484269454,-66.59726148393531
16411.838067,704052044.4388787,5638920040.468433,87363.60604918574,7.625,-2.5625,10.75,1.003921628,1.0,image240.jpg,,,704052.0444388789,5638920.04046843,87363.60604918574,-71.36749995674563,-66.28476148393531
16484.286921,704052070.9030067,5638919961.979172,87369.13562630712,7.375,-2.625,11.0625,1.003921628,0.0,image241.jpg,2.0,30U,704052.0709030067,5638919.96197917,87369.13562630714,-71.7691583363204,-66.03476148393531
16534.910619,704052089.0668888,5638919906.8334675,87372.82573142243,6.4375,-2.3125,11.6875,1.003921628,0.0,image242.jpg,2.0,30U,704052.0890668891,5638919.906833471,87372.82573142243,-71.25373756581575,-65.09726148393531
16597.715827,704052112.2061584,5638919838.652766,87377.39788587553,5.6875,-2.6875,9.625,1.003921628,0.0,image243.jpg,,,704052.1122061587,5638919.838652769,87377.39788587553,-70.84077076728704,-64.34726148393531
16668.39239,704052138.8256528,5638919762.036495,87382.57975508732,4.75,-3.375,9.25,1.003921628,2.0,image244.jpg,2.0,30U,704052.1388256527,5638919.762036496,87382.57975508732,-70.7336007150202,-63.40976148393537
