Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
23795.784887,704049614020.7186,5638926093836.392,85900000.0,2.0625,-3.9375,2.8125,-0.360784322,0.0,image355.jpg,5.0,30U,704049.2402456714,5638927.197815619,85859.95117203737,-60.2163397644523,-66.98347011002647
23863.7152,,,,2.25,-3.375,3.0625,-0.360784322,1.0,image356.jpg,,,704049.242076036,5638927.194617508,85855.21599278657,-70.88078670363552,-67.17097011002647
23930.744939,704049586929.475,5638926185558.541,85900000.0,4.9375,-0.625,3.75,-0.3686274588,0.0,image357.jpg,5.0,30U,704049.2559658637,5638927.154549538,85853.73393724671,-71.14490629137958,-69.85847011002647
23994.529627,704049561294.2905,5638926240223.255,85900000.0,5.9375,-2.5,5.9375,-0.3137255013,1.0,image358.jpg,5.0,30U,704049.2638364045,5638927.131502642,85850.73717723865,-70.69149764512099,-70.85847011002647
24063.175825,,,,6.0625,-1.5,5.6875,-0.1960784346,0.0,image359.jpg,,,704049.2717266537,5638927.108982341,85847.20008210752,-70.99528145101863,-70.98347011002647
24131.581241,704049534931.0776,5638926313416.687,85900000.0,6.25,-1.1875,6.25,-0.1333333403,0.0,image360.jpg,5.0,30U,704049.2842623973,5638927.072585636,85845.09240902991,-70.71992571196967,-71.17097011002647
24193.143324,704049520293.4131,5638926387070.838,85900000.0,6.625,-0.0625,6.5,-0.1333333403,0.0,image361.jpg,5.0,30U,704049.2936043724,5638927.045879372,85842.37865391342,-70.89566938201995,-71.54597011002647
24263.79697,,,,6.1875,-0.375,6.5,0.0235294122,0.0,image362.jpg,,,704049.3052447687,5638927.012272129,85839.39115775221,-71.01300106321304,-71.10847011002647
24331.974626,704049505655.749,5638926460724.99,85900000.0,6.8125,-0.25,7.0,-0.0627451017,1.0,image363.jpg,5.0,30U,704049.3188381273,5638926.972765029,85837.35002173725,-71.15552419911944,-71.73347011002647
24395.304522,,,,5.75,-0.3125,7.5,0.0549019612,0.0,image364.jpg,,,704049.3305809831,5638926.938358188,85834.93106301795,-71.15082971799251,-70.67097011002647
24462.313324,704049492474.1433,5638926497321.705,85900000.0,6.125,-0.3125,8.0625,0.2431372553,0.0,image365.jpg,5.0,30U,704049.3451706861,5638926.895621472,85833.02637615778,-71.25350932906906,-71.04597011002647
24532.067543,704049491018.0852,5638926534379.141,85900000.0,6.125,-0.3125,8.0,0.1411764771,0.0,image366.jpg,5.0,30U,704049.3606936544,5638926.849883079,85831.14726956323,-71.41880633119558,-71.04597011002647
24595.856606,704049479292.5376,5638926533918.422,85900000.0,6.25,-0.3125,7.875,0.3372549117,1.0,image367.jpg,5.0,30U,704049.3742855934,5638926.809451554,85828.97615076568,-71.33936188216614,-71.17097011002647
24669.36697,,,,6.3125,-0.4375,7.875,0.3294117749,0.0,image368.jpg,,,704049.391245565,5638926.759231897,85826.79188337884,-71.34187677921983,-71.23347011002647
24731.903533,704049491746.1143,5638926515850.423,85900000.0,6.125,-0.4375,7.9375,0.0392156877,0.0,image369.jpg,5.0,30U,704049.4058679338,5638926.715927775,85825.05119515146,-71.31973700926949,-71.04597011002647
24797.008897,704049491746.1143,5638926515850.423,85900000.0,6.4375,-0.6875,7.8125,0.0,1.0,image370.jpg,5.0,30U,704049.42154119,5638926.669570557,85822.95305225476,-71.23738396314161,-71.35847011002647
24864.228428,,,,6.3125,-0.625,7.4375,0.0313725509,0.0,image371.jpg,,,704049.4381867077,5638926.620569893,85820.58575402282,-71.24701788195972,-71.23347011002647
24931.386397,704049492474.1433,5638926497321.705,85900000.0,6.4375,-0.625,7.4375,0.0470588244,0.0,image372.jpg,5.0,30U,704049.4557341804,5638926.568885543,85818.83145304251,-71.16817947773495,-71.35847011002647
24995.586814,704049493202.1722,5638926478792.988,85900000.0,6.3125,-0.6875,7.4375,0.2745098174,0.0,image373.jpg,5.0,30U,704049.4726120838,5638926.519397137,85816.75834173473,-71.1202700222089,-71.23347011002647
25064.623116,,,,6.375,-0.625,7.375,0.8941176534,1.0,image374.jpg,,,704049.4914350257,5638926.464356289,85814.59689005901,-71.15346044895676,-71.29597011002647
