Timestamp [ms], X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Speed, Steering angle [degrees], GPS quality
118.880625, 704050305.3658195, 5638924339.497669, 84300.0, 359.9375, -9.0, 0.6875, 0.0313725509, 0.0, 5.0
182.320833, , , , 359.9375, -9.0, 0.6875, -0.0078431377, 0.0, 
243.828333, 704050372.8070087, 5638924416.376867, 84400.0, 359.9375, -9.0, 0.6875, 0.0392156877, 0.0, 5.0
310.273542, , , , 359.9375, -9.0, 0.6875, 0.0470588244, 0.0, 
379.625208, 704050372.0789771, 5638924434.905585, 84400.0, 359.9375, -9.0, 0.6875, 0.0470588244, 0.0, 5.0
445.733125, 704050372.0789771, 5638924434.905585, 84400.0, 359.9375, -9.0, 0.6875, 0.0156862754, 1.0, 5.0
513.877396, , , , 359.9375, -9.0, 0.6875, 0.0313725509, 0.0, 
585.210937, 704050372.0789771, 5638924434.905585, 84400.0, 359.9375, -9.0, 0.6875, 0.0313725509, 0.0, 5.0
648.967291, 704050383.8045294, 5638924435.366307, 84400.0, 359.9375, -9.0, 0.6875, 0.0313725509, 0.0, 5.0
711.980104, , , , 359.9375, -9.0, 0.6875, 0.0313725509, 1.0, 
782.620208, 704050383.8045294, 5638924435.366307, 84400.0, 359.9375, -9.0, 0.6875, 0.0313725509, 0.0, 5.0
846.692656, 704050383.8045294, 5638924435.366307, 84400.0, 359.9375, -9.0, 0.6875, 0.0470588244, 0.0, 5.0
914.509635, , , , 359.9375, -9.0, 0.6875, 0.0156862754, 1.0, 
983.13526, 704050383.8045294, 5638924435.366307, 84400.0, 359.9375, -9.0, 0.6875, 0.0470588244, 0.0, 5.0
1054.235104, 704050383.0764979, 5638924453.895024, 84400.0, 359.9375, -9.0, 0.6875, 0.0313725509, 0.0, 5.0
1111.170312, , , , 359.9375, -9.0, 0.6875, 0.0313725509, 0.0, 
1179.898333, 704050383.0764979, 5638924453.895024, 84400.0, 359.9375, -9.0, 0.6875, -0.0078431377, 1.0, 5.0
1254.025885, 704050383.0764979, 5638924453.895024, 84400.0, 359.9375, -9.0, 0.6875, -0.0078431377, 0.0, 5.0
1318.062864, 704050383.0764979, 5638924453.895024, 84400.0, 0.4375, -9.0, 0.8125, 0.0313725509, 0.0, 5.0
1380.922291, , , , 0.0, -8.8125, 0.625, 0.0156862754, 0.0, 
1444.035156, 704050382.348466, 5638924472.423741, 84400.0, 0.125, -8.9375, 0.625, 0.0392156877, 0.0, 5.0
1510.975572, , , , 0.25, -9.0, 0.75, 0.0156862754, 0.0, 
1581.825364, 704050394.0740185, 5638924472.884463, 84400.0, 0.1875, -9.0, 0.6875, 0.0470588244, 0.0, 5.0
1649.106249, 704050394.0740185, 5638924472.884463, 84400.0, 0.125, -8.9375, 0.625, 0.0313725509, 1.0, 5.0
1713.958801, , , , 0.125, -8.9375, 0.625, -0.0078431377, 0.0, 
1783.921301, 704050393.3459867, 5638924491.41318, 84400.0, 0.125, -8.9375, 0.625, 0.0313725509, 0.0, 5.0
1850.26677, 704050393.3459867, 5638924491.41318, 84400.0, 0.125, -8.9375, 0.625, 0.0313725509, 0.0, 5.0
1912.278905, , , , 0.125, -8.9375, 0.625, 0.0313725509, 2.0, 
1980.603593, 704050393.3459867, 5638924491.41318, 84400.0, 0.125, -8.9375, 0.625, 0.0078431377, 0.0, 5.0
2050.47453, 704050405.0715392, 5638924491.873902, 84400.0, 0.125, -9.0, 0.625, 0.0470588244, 0.0, 5.0
2117.867499, , , , 0.125, -8.9375, 0.625, 0.0470588244, 1.0, 
2177.603697, 704050392.617955, 5638924509.941897, 84400.0, 0.125, -8.9375, 0.625, 0.0313725509, 0.0, 5.0
2248.646249, 704050405.0715392, 5638924491.873902, 84400.0, 0.125, -8.9375, 0.625, 0.0313725509, 0.0, 5.0
2315.122447, , , , 0.125, -8.9375, 0.625, 0.0313725509, 0.0, 
2380.953124, 704050404.3435073, 5638924510.402618, 84400.0, 0.125, -8.9375, 0.5625, 0.0313725509, 2.0, 5.0
2447.528541, 704050404.3435073, 5638924510.402618, 84400.0, 0.125, -9.0, 0.625, -0.0078431377, 0.0, 5.0
2514.303541, , , , 0.5625, -9.0, 0.75, 0.0313725509, 0.0, 
2583.299634, 704050403.6154757, 5638924528.931336, 84400.0, 0.1875, -8.8125, 0.5625, 0.0392156877, 0.0, 5.0
2647.945051, 704050402.8874437, 5638924547.460055, 84500.0, 0.25, -8.8125, 0.5625, 0.0392156877, 0.0, 5.0
2713.487395, , , , 0.375, -8.9375, 0.75, 0.0156862754, 0.0, 
2784.978593, 704050414.6129959, 5638924547.920776, 84500.0, 0.3125, -8.9375, 0.6875, 0.0313725509, 0.0, 5.0
2849.345936, 704050414.6129959, 5638924547.920776, 84500.0, 0.3125, -8.875, 0.6875, 0.0313725509, 3.0, 5.0
2917.112447, 704050413.8849642, 5638924566.449493, 84500.0, 0.3125, -8.8125, 0.6875, -0.0156862754, 0.0, 5.0
2980.878957, , , , 0.3125, -8.8125, 0.75, 0.0313725509, 0.0, 
3051.944061, 704050413.8849642, 5638924566.449493, 84500.0, 0.3125, -8.875, 0.75, 0.0313725509, 0.0, 5.0
3114.406874, , , , 0.3125, -8.875, 0.6875, 0.0470588244, 1.0, 
3184.000311, 704050413.8849642, 5638924566.449493, 84500.0, 0.3125, -8.875, 0.6875, -0.0078431377, 0.0, 5.0
3248.556665, 704050413.8849642, 5638924566.449493, 84500.0, 0.3125, -8.875, 0.6875, 0.0470588244, 0.0, 5.0
3315.256249, , , , 0.3125, -8.875, 0.6875, 0.0313725509, 1.0, 
3381.872863, 704050413.8849642, 5638924566.449493, 84500.0, 0.3125, -8.875, 0.6875, 0.0313725509, 0.0, 5.0
3451.294894, 704050424.8824843, 5638924585.438932, 84500.0, 0.3125, -8.875, 0.6875, 0.0313725509, 0.0, 5.0
3515.340572, , , , 0.3125, -8.875, 0.6875, 0.0313725509, 0.0, 
3584.785207, 704050424.8824843, 5638924585.438932, 84500.0, 0.3125, -8.875, 0.6875, 0.0313725509, 1.0, 5.0
3647.293176, 704050424.1544524, 5638924603.96765, 84500.0, 0.3125, -8.875, 0.6875, -0.0078431377, 0.0, 5.0
3715.796613, , , , 0.3125, -8.875, 0.6875, 0.0392156877, 0.0, 
3784.429009, 704050424.1544524, 5638924603.96765, 84500.0, 0.375, -8.875, 0.6875, 0.0392156877, 0.0, 5.0
3847.638436, 704050424.1544524, 5638924603.96765, 84500.0, 0.3125, -8.875, 0.6875, 0.0392156877, 0.0, 5.0
3914.361978, , , , 0.3125, -8.875, 0.6875, -0.0235294122, 0.0, 
3985.070467, 704050424.1544524, 5638924603.96765, 84500.0, 0.3125, -8.875, 0.6875, 0.0313725509, 0.0, 5.0
4048.350676, 704050435.1519727, 5638924622.95709, 84500.0, 0.3125, -8.875, 0.6875, 0.0313725509, 1.0, 5.0
4117.733436, 704050423.4264207, 5638924622.496368, 84500.0, 0.375, -8.875, 0.6875, -0.0156862754, 0.0, 5.0
4182.414582, , , , 0.375, -8.875, 0.6875, 0.0313725509, 0.0, 
4249.651457, 704050423.4264207, 5638924622.496368, 84500.0, 0.375, -8.875, 0.6875, 0.0392156877, 0.0, 5.0
4316.741613, , , , 0.375, -8.875, 0.6875, 0.0470588244, 1.0, 
