Frame,Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],GPS quality,UTM zone,fitted x deg 1,Y fitted [mm],Z fitted [mm],GPS fitted heading [degrees],corrected IMU heading [degrees]
175,11913.96213,704052062.4132499,5638923124.256176,87608.99294415326,11.8125,-2.0625,11.375,1.003921628,2.0,2.0,30U,704052.06241325,5638923.124256177,87608.99294415326,-73.17566813742974,-83.29371034805558
176,11987.879682,704052080.5073354,5638923064.417528,87610.77389906358,12.0,-2.5,11.4375,1.003921628,0.0,2.0,30U,704052.0805073355,5638923.064417526,87610.77389906358,-72.33111663663107,-83.48121034805558
177,12054.260464,704052097.8928474,5638923009.8392,87614.35633342246,11.0,-2.3125,10.625,1.003921628,0.0,,,704052.0978928473,5638923.0098392,87614.35633342246,-70.9218795164984,-82.48121034805558
178,12118.614839,704052115.9971038,5638922957.492586,87616.8023196412,11.0,-2.125,11.0625,1.003921628,0.0,2.0,30U,704052.1159971037,5638922.957492586,87616.8023196412,-72.02997802482207,-82.48121034805558
179,12182.499839,704052132.7115511,5638922905.959078,87619.20408893435,10.25,-2.5,10.75,1.003921628,0.0,2.0,30U,704052.1327115509,5638922.905959078,87619.20408893433,-70.79747442850896,-81.73121034805558
180,12258.725047,704052154.2781082,5638922844.03715,87623.34713122719,9.6875,-2.3125,11.4375,1.003921628,0.0,,,704052.1542781083,5638922.84403715,87623.34713122719,-71.02619769229568,-81.16871034805558
181,12313.872755,704052169.5331453,5638922799.667412,87625.80805201958,9.3125,-2.5625,10.875,1.003921628,0.0,2.0,30U,704052.1695331453,5638922.799667412,87625.80805201958,-70.63033098544395,-80.79371034805558
182,12382.332078,704052188.8210799,5638922744.80367,87628.32986228383,8.6875,-2.9375,11.1875,1.003921628,0.0,2.0,30U,704052.1888210797,5638922.744803669,87628.32986228383,-70.65480356698276,-80.16871034805558
183,12446.825672,704052207.133299,5638922692.644116,87631.32604182191,8.0,-3.1875,11.125,1.003921628,0.0,,,704052.207133299,5638922.692644116,87631.32604182191,-69.99996799699954,-79.48121034805558
184,12516.018901,704052227.2951449,5638922637.249995,87635.13931675954,7.5,-2.875,11.25,1.003921628,0.0,2.0,30U,704052.2272951447,5638922.637249996,87635.13931675954,-70.22987243372421,-78.98121034805558
185,12584.888641,704052247.1797357,5638922581.9279375,87639.13469725923,7.125,-3.5625,10.6875,1.003921628,0.0,2.0,30U,704052.2471797358,5638922.5819279365,87639.13469725923,-70.3658103565491,-78.60621034805558
186,12652.103745,704052266.7116247,5638922527.179422,87643.45511240729,6.8125,-3.3125,10.9375,1.003921628,0.0,,,704052.2667116245,5638922.527179423,87643.45511240729,-69.9663944688719,-78.29371034805558
187,12717.586453,704052286.084447,5638922474.050009,87647.32958483403,6.4375,-3.75,11.8125,1.003921628,3.0,2.0,30U,704052.2860844469,5638922.47405001,87647.32958483402,-69.96898020503386,-77.91871034805558
188,12783.548432,704052305.6714631,5638922420.325644,87650.71407251968,5.8125,-4.1875,11.75,1.003921628,2.0,2.0,30U,704052.305671463,5638922.420325643,87650.71407251968,-69.89618149981726,-77.29371034805558
189,12846.966505,704052324.7727748,5638922368.139633,87653.84702020667,5.5625,-4.0,11.1875,1.003921628,4.0,,,704052.3247727747,5638922.368139633,87653.84702020667,-69.43150421125893,-77.04371034805558
190,12913.419474,704052345.1634641,5638922313.800381,87657.25272384478,5.5,-4.5625,11.0625,1.003921628,5.0,2.0,30U,704052.3451634641,5638922.313800381,87657.25272384481,-69.10332128555319,-76.98121034805558
191,12988.179786,704052368.6063972,5638922252.398727,87661.0899788035,5.875,-4.625,11.625,1.003921628,5.0,2.0,30U,704052.3686063972,5638922.252398727,87661.0899788035,-69.44023100021872,-77.35621034805558
192,13052.227599,704052388.4278814,5638922199.551883,87663.97076794681,5.5625,-4.3125,11.875,1.003921628,4.0,,,704052.3884278812,5638922.199551884,87663.97076794681,-69.28815743399662,-77.04371034805558
193,13113.085047,704052407.2778221,5638922149.69813,87666.83727997234,5.6875,-4.125,11.375,1.003921628,4.0,2.0,30U,704052.407277822,5638922.149698129,87666.83727997234,-68.71186521122422,-77.16871034805558
194,13185.343015,704052430.5926449,5638922089.862091,87670.68295848621,6.0,-4.25,11.5625,1.003921628,6.0,2.0,30U,704052.4305926448,5638922.089862091,87670.68295848623,-69.06107232912916,-77.48121034805558
195,13249.616922,704052450.9572699,5638922036.640939,87673.69214603008,6.0625,-3.875,10.9375,1.003921628,4.0,,,704052.4509572698,5638922.036640937,87673.6921460301,-68.80325388031241,-77.54371034805558
196,13315.337651,704052471.9588662,5638921982.486468,87676.97176348757,6.25,-4.0,11.1875,1.003921628,5.0,2.0,30U,704052.4719588661,5638921.982486468,87676.9717634876,-68.49598257141156,-77.73121034805558
197,13389.25739,704052495.9769566,5638921921.525529,87681.05292346484,6.5625,-3.875,11.6875,1.003921628,4.0,2.0,30U,704052.4959769564,5638921.921525529,87681.05292346484,-69.11449689539728,-78.04371034805558
198,13453.246088,704052516.0816611,5638921868.836514,87683.92067845391,6.5625,-4.0625,11.0625,1.003921628,6.0,,,704052.516081661,5638921.868836514,87683.92067845391,-68.84141180167552,-78.04371034805558
199,13517.846192,704052536.6063461,5638921815.807065,87687.10418153566,6.75,-4.375,10.5,1.003921628,4.0,2.0,30U,704052.5366063464,5638921.815807065,87687.10418153566,-68.84866423930896,-78.23121034805558
200,13582.474942,704052557.1571714,5638921762.690108,87690.12063022902,7.0,-3.375,10.375,1.003921628,4.0,2.0,30U,704052.5571571712,5638921.762690107,87690.12063022902,-68.78782800233961,-78.48121034805558
201,13650.809682,704052578.8502347,5638921706.797272,87693.40014336004,7.375,-2.9375,10.75,1.003921628,4.0,,,704052.5788502344,5638921.706797273,87693.40014336004,-68.64056493092528,-78.85621034805558
202,13715.088432,704052599.3679777,5638921654.332854,87696.66694480104,7.3125,-2.4375,11.125,1.003921628,4.0,2.0,30U,704052.5993679778,5638921.654332855,87696.66694480104,-68.43200495990254,-78.79371034805558
203,13784.03489,704052621.61086,5638921598.061932,87700.24372449164,6.9375,-2.5625,10.6875,1.003921628,3.0,2.0,30U,704052.62161086,5638921.598061933,87700.24372449164,-68.23671325736115,-78.41871034805558
204,13858.194473,704052645.631517,5638921537.894223,87704.47931296947,7.375,-3.0,10.875,1.003921628,2.0,,,704052.6456315167,5638921.537894225,87704.4793129695,-68.4317965244756,-78.85621034805558
205,13919.166453,704052665.1189264,5638921488.594729,87707.72301019252,6.75,-3.5,10.4375,1.003921628,3.0,2.0,30U,704052.6651189262,5638921.488594731,87707.72301019252,-68.17245843472904,-78.23121034805558
206,13985.361661,704052686.5515318,5638921435.084005,87711.37584319235,7.0,-3.75,10.1875,1.003921628,2.0,2.0,30U,704052.6865515322,5638921.435084006,87711.37584319235,-68.04980087920842,-78.48121034805558
207,14049.760671,704052707.2838914,5638921383.640925,87714.82677660735,7.1875,-3.25,10.6875,1.003921628,2.0,,,704052.7072838914,5638921.383640925,87714.82677660735,-67.6092501515165,-78.66871034805558
208,14116.655984,704052729.3378909,5638921330.109384,87718.92351938337,6.5625,-3.3125,10.875,1.003921628,1.0,2.0,30U,704052.7293378906,5638921.330109384,87718.92351938337,-67.14573310484445,-78.04371034805558
