Timestamp [ms], X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Speed, Steering angle [degrees], GPS quality
117.741458, 704050976.6344546, 5638924291.643945, 89900.0, 359.9375, -5.5, 4.1875, 0.0549019612, 0.0, 5.0
173.765729, , , , 359.9375, -5.5, 4.1875, 0.0156862754, 0.0, 
240.157708, 704050950.2712144, 5638924364.837368, 89600.0, 359.9375, -5.5, 4.1875, 0.0470588244, 0.0, 5.0
308.835729, , , , 359.9375, -5.5, 4.1875, 0.0470588244, 0.0, 
374.277551, 704050950.2712144, 5638924364.837368, 89600.0, 359.9375, -5.5, 4.1875, 0.0470588244, 0.0, 5.0
442.253749, 704050950.2712144, 5638924364.837368, 89600.0, 359.9375, -5.5, 4.1875, 0.0156862754, 2.0, 5.0
509.020833, , , , 359.9375, -5.5, 4.1875, 0.0235294122, 0.0, 
577.127551, 704050950.2712144, 5638924364.837368, 89600.0, 359.9375, -5.5, 4.1875, 0.0627451017, 0.0, 5.0
641.62052, 704050950.2712144, 5638924364.837368, 89600.0, 359.9375, -5.5, 4.1875, 0.0549019612, 0.0, 5.0
711.263072, , , , 359.9375, -5.5, 4.1875, 0.0549019612, 0.0, 
772.676562, 704050950.2712144, 5638924364.837368, 89600.0, 359.9375, -5.5, 4.1875, 0.0156862754, 0.0, 5.0
842.854478, 704050950.2712144, 5638924364.837368, 89600.0, 359.9375, -5.5, 4.1875, 0.0470588244, 0.0, 5.0
910.057968, , , , 359.9375, -5.5, 4.1875, 0.0470588244, 2.0, 
981.17276, 704050950.2712144, 5638924364.837368, 89600.0, 359.9375, -5.5, 4.1875, 0.0156862754, 0.0, 5.0
1043.333905, 704050950.2712144, 5638924364.837368, 89500.0, 359.9375, -5.5, 4.1875, 0.0470588244, 0.0, 5.0
1108.368072, , , , 359.9375, -5.5, 4.1875, 0.0627451017, 0.0, 
1180.15203, 704050950.2712144, 5638924364.837368, 89500.0, 359.9375, -5.5, 4.1875, 0.0549019612, 1.0, 5.0
1242.280624, 704050950.2712144, 5638924364.837368, 89500.0, 359.9375, -5.5, 4.1875, 0.0235294122, 0.0, 5.0
1309.855468, , , , 359.9375, -5.5, 4.1875, 0.0470588244, 0.0, 
1375.141301, 704050950.2712144, 5638924364.837368, 89500.0, 359.9375, -5.5, 4.1875, 0.0470588244, 0.0, 5.0
1443.908436, 704050961.9967669, 5638924365.298091, 89500.0, 359.6875, -5.5625, 4.0, 0.0470588244, 0.0, 5.0
1510.104582, , , , 0.0, -5.5, 4.125, 0.0470588244, 0.0, 
1572.669895, 704050950.2712144, 5638924364.837368, 89500.0, 359.9375, -5.5, 4.125, 0.0470588244, 0.0, 5.0
1644.622291, 704050950.2712144, 5638924364.837368, 89500.0, 359.875, -5.5, 4.0, 0.0627451017, 2.0, 5.0
1710.858072, , , , 359.8125, -5.5625, 4.0, 0.0235294122, 0.0, 
1780.023436, 704050961.2687331, 5638924383.826808, 89500.0, 359.875, -5.5625, 4.0625, 0.0549019612, 0.0, 5.0
1842.764791, 704050949.5431806, 5638924383.366086, 89500.0, 359.875, -5.5, 4.125, 0.0470588244, 0.0, 5.0
1912.349218, , , , 359.875, -5.5, 4.125, 0.0470588244, 0.0, 
1980.182551, 704050961.2687331, 5638924383.826808, 89500.0, 359.875, -5.5625, 4.125, -0.0392156877, 0.0, 5.0
2042.83953, 704050961.2687331, 5638924383.826808, 89500.0, 359.875, -5.5625, 4.125, 0.0470588244, 0.0, 5.0
2109.352759, , , , 359.875, -5.5, 4.125, 0.0470588244, 1.0, 
2181.901457, 704050961.2687331, 5638924383.826808, 89500.0, 359.875, -5.5, 4.125, 0.0078431377, 0.0, 5.0
2241.674113, 704050961.2687331, 5638924383.826808, 89500.0, 359.875, -5.5, 4.125, 0.0549019612, 0.0, 5.0
2312.625415, , , , 359.875, -5.5, 4.125, 0.0549019612, 0.0, 
2380.287811, 704050949.5431806, 5638924383.366086, 89500.0, 359.875, -5.5, 4.125, 0.0549019612, 1.0, 5.0
2446.607447, 704050961.2687331, 5638924383.826808, 89500.0, 359.875, -5.5, 4.125, -0.0078431377, 0.0, 5.0
2512.118592, , , , 359.875, -5.5625, 4.0625, 0.0470588244, 0.0, 
2578.081665, 704050961.2687331, 5638924383.826808, 89500.0, 359.875, -5.5, 4.0625, 0.0470588244, 0.0, 5.0
2648.992759, 704050961.2687331, 5638924383.826808, 89500.0, 359.8125, -5.6875, 3.4375, 0.0470588244, 0.0, 5.0
2712.384426, , , , 0.0625, -5.5625, 3.875, 0.0470588244, 0.0, 
2779.623384, 704050960.5406995, 5638924402.355526, 89400.0, 0.0, -5.5625, 4.125, 0.0549019612, 0.0, 5.0
2841.831509, 704050959.8126657, 5638924420.884243, 89400.0, 0.0, -5.5625, 4.0625, 0.0627451017, 1.0, 5.0
2910.869894, , , , 359.8125, -5.5625, 3.875, 0.0078431377, 0.0, 
2980.591925, 704050971.5382183, 5638924421.344966, 89400.0, 359.875, -5.5625, 3.9375, 0.0470588244, 0.0, 5.0
3040.62505, 704050971.5382183, 5638924421.344966, 89400.0, 359.875, -5.5625, 4.0625, 0.0470588244, 0.0, 5.0
3115.872603, 704050971.5382183, 5638924421.344966, 89400.0, 359.875, -5.5625, 4.0625, 0.0470588244, 0.0, 5.0
3180.326509, , , , 359.75, -5.5625, 3.6875, -0.0078431377, 0.0, 
3250.48604, 704050970.8101845, 5638924439.873683, 89400.0, 0.0, -5.5625, 4.0625, 0.0470588244, 0.0, 5.0
3309.487342, , , , 359.9375, -5.5625, 4.125, 0.0470588244, 1.0, 
3381.595102, 704050970.8101845, 5638924439.873683, 89400.0, 359.8125, -5.5, 3.9375, 0.0156862754, 0.0, 5.0
3447.175727, 704050970.8101845, 5638924439.873683, 89400.0, 359.8125, -5.5, 3.9375, 0.0627451017, 0.0, 5.0
3513.628592, , , , 359.875, -5.5, 3.9375, 0.0627451017, 0.0, 
3577.258332, 704050982.5357369, 5638924440.334406, 89400.0, 359.875, -5.5, 4.0, 0.0627451017, 1.0, 5.0
3649.813488, 704050982.5357369, 5638924440.334406, 89400.0, 359.875, -5.5, 4.0, 0.0078431377, 1.0, 5.0
3713.069634, , , , 359.875, -5.5, 4.0, 0.0627451017, 0.0, 
3781.155259, 704050982.5357369, 5638924440.334406, 89400.0, 359.875, -5.5625, 4.0, 0.0862745121, 0.0, 5.0
3846.420154, 704050982.5357369, 5638924440.334406, 89400.0, 359.8125, -5.6875, 3.625, 0.0784313753, 0.0, 5.0
3914.649842, 704050981.807703, 5638924458.863125, 89400.0, 359.9375, -5.625, 4.0, 0.1019607857, 1.0, 5.0
3979.115883, , , , 359.9375, -5.5625, 4.1875, 0.1019607857, 0.0, 
4046.123748, 704050981.807703, 5638924458.863125, 89400.0, 359.9375, -5.625, 4.0625, 0.0941176489, 0.0, 5.0
4111.781665, , , , 359.8125, -5.625, 3.9375, 0.0, 0.0, 
4184.418383, 704050981.807703, 5638924458.863125, 89400.0, 359.875, -5.5625, 4.0, 0.1019607857, 0.0, 5.0
4244.820988, 704050993.5332556, 5638924459.323848, 89400.0, 359.875, -5.5625, 4.0, 0.1098039225, 0.0, 5.0
4317.204269, , , , 359.875, -5.5625, 4.0, 0.1098039225, 0.0, 
4378.498175, 704050993.5332556, 5638924459.323848, 89400.0, 359.875, -5.5625, 4.0, 0.0549019612, 1.0, 5.0
4448.434373, 704050993.5332556, 5638924459.323848, 89400.0, 359.875, -5.5625, 4.0, 0.1098039225, 0.0, 5.0
4512.016717, , , , 359.875, -5.5625, 4.0, 0.1176470593, 0.0, 
4580.37505, 704050993.5332556, 5638924459.323848, 89400.0, 359.875, -5.5625, 4.0, 0.0862745121, 0.0, 5.0
4645.885935, 704050993.5332556, 5638924459.323848, 89400.0, 359.875, -5.5625, 4.0, 0.1176470593, 0.0, 5.0
4713.453227, , , , 359.875, -5.5625, 4.0, 0.1019607857, 0.0, 
4778.5488, 704050992.8052217, 5638924477.852564, 89400.0, 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 5.0
4849.829529, 704051004.5307741, 5638924478.313288, 89400.0, 359.875, -5.5625, 4.0, 0.0627451017, 1.0, 5.0
4913.17755, , , , 359.875, -5.5625, 4.0, 0.1019607857, 0.0, 
4980.467341, 704050992.8052217, 5638924477.852564, 89400.0, 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 5.0
5045.064633, 704051003.80274, 5638924496.842005, 89400.0, 359.875, -5.5625, 4.0, 0.1098039225, 0.0, 5.0
5119.004529, 704051003.80274, 5638924496.842005, 89400.0, 359.875, -5.5625, 4.0, 0.1019607857, 1.0, 5.0
5183.721248, , , , 359.875, -5.5625, 4.0, 0.1019607857, 0.0, 
5246.737758, 704051003.80274, 5638924496.842005, 89400.0, 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 5.0
5312.913227, , , , 359.875, -5.5625, 4.0, 0.0549019612, 0.0, 
5381.164164, 704051003.80274, 5638924496.842005, 89400.0, 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 5.0
5444.283227, 704051003.80274, 5638924496.842005, 89400.0, 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 5.0
5513.466091, , , , 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 
5580.941508, 704051003.0747062, 5638924515.370723, 89400.0, 359.875, -5.5625, 4.0, 0.0549019612, 2.0, 5.0
5647.581404, 704051003.0747062, 5638924515.370723, 89400.0, 359.875, -5.5625, 4.0, 0.0705882385, 0.0, 5.0
5714.348227, , , , 359.875, -5.5625, 4.0, 0.1098039225, 0.0, 
5778.684008, 704051014.8002584, 5638924515.831445, 89400.0, 359.875, -5.5625, 4.0, 0.1019607857, 0.0, 5.0
5849.364997, 704051014.8002584, 5638924515.831445, 89400.0, 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 5.0
5915.279112, , , , 359.875, -5.5625, 4.0, 0.0549019612, 0.0, 
5981.212237, 704051014.0722245, 5638924534.360162, 89400.0, 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 5.0
6047.920935, 704051014.0722245, 5638924534.360162, 89400.0, 359.875, -5.5625, 4.0, 0.0549019612, 2.0, 5.0
6117.758851, 704051025.0697428, 5638924553.349602, 89400.0, 359.875, -5.5625, 4.0, 0.0549019612, 0.0, 5.0
6181.643643, , , , 359.875, -5.5625, 4.0, 0.1019607857, 0.0, 
6248.358591, 704051013.3441906, 5638924552.88888, 89400.0, 359.875, -5.5625, 4.0, 0.1019607857, 0.0, 5.0
6321.097758, 704051013.3441906, 5638924552.88888, 89400.0, 359.875, -5.5625, 4.0, 0.1019607857, 1.0, 5.0
6383.017237, , , , 359.875, -5.5625, 4.0, 0.0549019612, 0.0, 
6451.450362, 704051025.0697428, 5638924553.349602, 89400.0, 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 5.0
6513.630778, , , , 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 
6592.714945, 704051025.0697428, 5638924553.349602, 89400.0, 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 5.0
6649.341872, 704051025.0697428, 5638924553.349602, 89400.0, 359.875, -5.5625, 4.0, 0.0862745121, 0.0, 5.0
6716.232341, 704051024.3417088, 5638924571.878322, 89300.0, 359.875, -5.5625, 4.0, 0.1019607857, 0.0, 5.0
6781.747549, , , , 359.875, -5.5625, 4.0, 0.1019607857, 2.0, 
6852.701091, 704051024.3417088, 5638924571.878322, 89300.0, 359.875, -5.5625, 4.0, 0.0705882385, 0.0, 5.0
6916.572549, , , , 359.875, -5.5625, 4.0, 0.1019607857, 0.0, 
6990.741403, 704051024.3417088, 5638924571.878322, 89300.0, 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 5.0
7050.078799, 704051023.6136748, 5638924590.407037, 89300.0, 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 5.0
7113.367445, , , , 359.875, -5.5625, 4.0, 0.0549019612, 0.0, 
7184.651143, 704051035.3392268, 5638924590.86776, 89300.0, 359.875, -5.5625, 4.0, 0.0941176489, 0.0, 5.0
7250.718903, 704051023.6136748, 5638924590.407037, 89300.0, 359.875, -5.5625, 4.0, 0.0941176489, 2.0, 5.0
7315.966507, , , , 359.875, -5.5625, 4.0, 0.1019607857, 0.0, 
7380.493226, 704051035.3392268, 5638924590.86776, 89300.0, 359.875, -5.5625, 4.0, 0.1019607857, 0.0, 5.0
7451.133382, 704051035.3392268, 5638924590.86776, 89300.0, 359.875, -5.5625, 4.0, 0.1019607857, 0.0, 5.0
7518.473018, 704051035.3392268, 5638924590.86776, 89300.0, 359.875, -5.5625, 4.0, 0.0862745121, 1.0, 5.0
7582.031455, , , , 359.875, -5.5625, 4.0625, 0.0549019612, 0.0, 
7650.385413, 704051035.3392268, 5638924590.86776, 89300.0, 359.875, -5.5625, 4.0625, 0.0862745121, 0.0, 5.0
7720.281767, 704051035.3392268, 5638924590.86776, 89300.0, 359.875, -5.5625, 4.0625, 0.0941176489, 3.0, 5.0
7784.389111, , , , 359.875, -5.5625, 4.0625, 0.0862745121, 0.0, 
7851.798799, 704051034.6111928, 5638924609.396478, 89300.0, 359.875, -5.5625, 4.0625, 0.1019607857, 0.0, 5.0
7919.379007, 704051034.6111928, 5638924609.396478, 89300.0, 359.875, -5.5625, 4.0625, 0.1019607857, 0.0, 5.0
7981.508017, , , , 359.875, -5.5625, 4.0625, 0.1019607857, 1.0, 
8052.516246, 704051046.3367469, 5638924609.857201, 89300.0, 359.875, -5.5625, 4.0625, 0.0392156877, 0.0, 5.0
8116.208226, 704051046.3367469, 5638924609.857201, 89300.0, 359.875, -5.5625, 4.0625, 0.0941176489, 0.0, 5.0
