Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
11192.130933,704051.5136718112,5638923.77458295,87000.0,7.5,-2.375,8.125,0.5647059083,26.0,image166.jpg,5.0,30U,704051.4767352715,5638923.988734586,87070.16768598017,-80.46442023219788,-67.67543754635176
11253.04786,704051.5283095076,5638923.700928804,87000.0,9.0625,-2.375,8.3125,0.5647059083,16.0,image167.jpg,5.0,30U,704051.4849860028,5638923.93961755,87079.10765390116,-80.01051778295903,-69.23793754635176
11323.214162,,,,10.3125,-2.625,8.125,0.6196078658,13.0,image168.jpg,,,704051.4951393432,5638923.881973219,87088.44084523513,-78.50755700653599,-70.48793754635176
11394.005985,704051.53122165,5638923.626813934,87000.0,12.25,-2.3125,8.8125,0.6039215922,14.0,image169.jpg,5.0,30U,704051.5086152343,5638923.815692352,87094.20122177896,-78.98736671198157,-72.42543754635176
11460.121818,704051.5575849015,5638923.553620511,87000.0,13.0,-2.0,9.0,0.6039215922,12.0,image170.jpg,5.0,30U,704051.5201545106,5638923.756397726,87101.21629382673,-79.54357470185676,-73.17543754635176
11520.903693,,,,13.8125,-2.5,9.25,0.6039215922,12.0,image171.jpg,,,704051.5297915018,5638923.704179573,87108.80430690506,-78.46617534699539,-73.98793754635176
11592.082183,704051.5956737079,5638923.4808878135,87000.0,14.875,-2.1875,8.3125,0.6039215922,12.0,image172.jpg,2.0,30U,704051.5434376381,5638923.637308763,87114.83650159746,-79.2531822740475,-75.05043754635176
11654.448954,704051.5978578153,5638923.425301662,87000.0,15.5625,-2.25,8.6875,0.6039215922,14.0,image173.jpg,5.0,30U,704051.5542141749,5638923.5805299,87121.43768997058,-79.39399787754803,-75.73793754635176
11723.190985,,,,16.125,-2.1875,9.125,0.5176470876,10.0,image174.jpg,,,704051.5659491912,5638923.517860704,87128.78780904814,-78.80241804062888,-76.30043754635176
11789.454787,704051.6132235492,5638923.333118796,87000.0,17.0,-2.0,9.4375,0.6039215922,4.0,image175.jpg,2.0,30U,704051.578334321,5638923.45529737,87134.6841841282,-79.03666280456201,-77.17543754635176
11856.508016,704051.6527684298,5638923.223328662,87100.0,17.625,-2.0,9.5625,0.6196078658,1.0,image176.jpg,2.0,30U,704051.5905160446,5638923.392413029,87141.19448685172,-79.3150561768341,-77.80043754635176
11922.385881,,,,17.8125,-2.3125,9.5625,0.6196078658,1.0,image177.jpg,,,704051.6020072562,5638923.331509791,87147.477011051,-78.66979593771356,-77.98793754635176
11990.35911,704051.667406129,5638923.149674516,87000.0,17.5625,-2.5625,9.5625,0.5490196347,0.0,image178.jpg,2.0,30U,704051.6150582266,5638923.266374783,87152.77030588755,-78.89288555353102,-77.73793754635176
12058.224683,704051.6827718643,5638923.057491655,87100.0,17.5,-2.25,9.875,0.6039215922,0.0,image179.jpg,2.0,30U,704051.627783113,5638923.201558097,87158.87843348648,-79.24267344758948,-77.67543754635176
