Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone
117.2165100000,704050.5834047170,5638922.6431486309,92300.0000000000,359.9375000000,-7.7500000000,2.5625000000,0.0313725509,0.0000000000,image0.jpg,5,30U
180.9797390000,704050.5467719837,5638922.6788239032,92300.0000000000,359.9375000000,-7.7500000000,2.5000000000,0.0627451017,0.0000000000,image1.jpg,5,30U
240.3581250000,704050.5467719837,5638922.6788239032,92300.0000000000,359.9375000000,-7.7500000000,2.5000000000,0.0549019612,0.0000000000,image2.jpg,5,30U
308.9389580000,nan,nan,nan,359.9375000000,-7.7500000000,2.5000000000,0.0549019612,1.0000000000,image3.jpg,nan,nan
381.1448960000,704050.5467719837,5638922.6788239032,92300.0000000000,359.9375000000,-7.7500000000,2.5000000000,0.0235294122,0.0000000000,image4.jpg,5,30U
441.7468230000,704050.5467719837,5638922.6788239032,92300.0000000000,359.9375000000,-7.7500000000,2.5000000000,0.0549019612,0.0000000000,image5.jpg,5,30U
509.6656770000,nan,nan,nan,359.9375000000,-7.7500000000,2.5000000000,0.0549019612,1.0000000000,image6.jpg,nan,nan
578.0606770000,704050.5467719837,5638922.6788239032,92300.0000000000,0.3750000000,-7.8750000000,2.5625000000,0.0705882385,0.0000000000,image7.jpg,5,30U
641.8715100000,704050.5460439520,5638922.6973526189,92300.0000000000,359.7500000000,-7.2500000000,2.3750000000,0.0705882385,0.0000000000,image8.jpg,5,30U
710.2943750000,nan,nan,nan,359.9375000000,-7.1875000000,2.5625000000,0.0705882385,0.0000000000,image9.jpg,nan,nan
779.9861450000,704050.5343183957,5638922.6968918974,92300.0000000000,359.8750000000,-7.2500000000,2.5625000000,0.0549019612,1.0000000000,image10.jpg,5,30U
849.9309370000,704050.5343183957,5638922.6968918974,92300.0000000000,359.8750000000,-7.3750000000,2.5000000000,-0.0313725509,0.0000000000,image11.jpg,5,30U
912.5103640000,nan,nan,nan,359.9375000000,-7.5000000000,2.4375000000,0.0549019612,0.0000000000,image12.jpg,nan,nan
976.8103120000,704050.5343183957,5638922.6968918974,92300.0000000000,359.9375000000,-7.5625000000,2.4375000000,0.0549019612,0.0000000000,image13.jpg,5,30U
1041.8164060000,704050.5225928392,5638922.6964311767,92300.0000000000,359.8750000000,-7.5000000000,2.4375000000,0.0549019612,0.0000000000,image14.jpg,5,30U
1109.5679680000,nan,nan,nan,359.8750000000,-7.4375000000,2.5000000000,0.0000000000,0.0000000000,image15.jpg,nan,nan
1176.0455200000,704050.5225928392,5638922.6964311767,92300.0000000000,359.8750000000,-7.5000000000,2.5000000000,0.0627451017,0.0000000000,image16.jpg,5,30U
1241.7793740000,704050.5225928392,5638922.6964311767,92300.0000000000,359.8750000000,-7.5000000000,2.4375000000,0.0627451017,1.0000000000,image17.jpg,5,30U
1315.7896350000,nan,nan,nan,359.8750000000,-7.5000000000,2.4375000000,0.0000000000,0.0000000000,image18.jpg,nan,nan
1378.3082810000,704050.5225928392,5638922.6964311767,92300.0000000000,359.8750000000,-7.5000000000,2.4375000000,0.0549019612,0.0000000000,image19.jpg,5,30U
1441.7506760000,704050.5108672829,5638922.6959704552,92300.0000000000,359.8750000000,-7.5000000000,2.4375000000,0.0549019612,0.0000000000,image20.jpg,5,30U
1511.3605720000,nan,nan,nan,359.8750000000,-7.5000000000,2.4375000000,0.0549019612,1.0000000000,image21.jpg,nan,nan
1576.7170310000,704050.5225928392,5638922.6964311767,92300.0000000000,359.8750000000,-7.5000000000,2.4375000000,0.0000000000,0.0000000000,image22.jpg,5,30U
1642.2864060000,704050.5108672829,5638922.6959704552,92300.0000000000,359.8750000000,-7.5000000000,2.4375000000,0.0549019612,0.0000000000,image23.jpg,5,30U
1712.3428120000,nan,nan,nan,359.8750000000,-7.5000000000,2.4375000000,0.0627451017,1.0000000000,image24.jpg,nan,nan
1777.6551560000,704050.5108672829,5638922.6959704552,92300.0000000000,0.5000000000,-7.6875000000,2.4375000000,0.0627451017,0.0000000000,image25.jpg,5,30U
1846.4530200000,704050.5101392511,5638922.7144991718,92300.0000000000,359.8125000000,-7.1250000000,2.3125000000,0.0627451017,0.0000000000,image26.jpg,5,30U
1907.5951030000,nan,nan,nan,0.0625000000,-7.0000000000,2.6875000000,0.0549019612,0.0000000000,image27.jpg,nan,nan
1979.3447910000,704050.5094112194,5638922.7330278903,92300.0000000000,0.0000000000,-6.8750000000,2.8750000000,0.0549019612,1.0000000000,image28.jpg,5,30U
2044.7324990000,704050.5101392511,5638922.7144991718,92300.0000000000,359.9375000000,-6.9375000000,2.7500000000,0.0000000000,0.0000000000,image29.jpg,5,30U
2115.4607800000,nan,nan,nan,0.5625000000,-7.3125000000,2.4375000000,0.0549019612,0.0000000000,image30.jpg,nan,nan
2177.4661450000,704050.4984136948,5638922.7140384512,92300.0000000000,0.0625000000,-6.6250000000,2.6875000000,0.0549019612,0.0000000000,image31.jpg,5,30U
2248.8409370000,704050.4976856631,5638922.7325671688,92300.0000000000,0.5625000000,-6.4375000000,3.0000000000,0.0627451017,0.0000000000,image32.jpg,5,30U
2309.8093740000,nan,nan,nan,0.4375000000,-6.5000000000,3.1250000000,0.0156862754,1.0000000000,image33.jpg,nan,nan
2377.4338530000,704050.4976856631,5638922.7325671688,92300.0000000000,0.3125000000,-6.6250000000,3.0000000000,0.0627451017,0.0000000000,image34.jpg,5,30U
2448.0293740000,704050.4976856631,5638922.7325671688,92300.0000000000,0.2500000000,-6.6875000000,2.9375000000,0.0549019612,1.0000000000,image35.jpg,5,30U
2516.7288010000,nan,nan,nan,0.2500000000,-6.7500000000,2.9375000000,0.0000000000,0.0000000000,image36.jpg,nan,nan
2591.4692180000,704050.4976856631,5638922.7325671688,92300.0000000000,0.2500000000,-6.6875000000,2.9375000000,0.0549019612,0.0000000000,image37.jpg,5,30U
2646.0741140000,704050.4859601067,5638922.7321064472,92200.0000000000,0.2500000000,-6.6875000000,2.9375000000,0.0549019612,0.0000000000,image38.jpg,5,30U
2712.4753110000,nan,nan,nan,0.2500000000,-6.6875000000,2.9375000000,0.0549019612,1.0000000000,image39.jpg,nan,nan
2777.1503110000,704050.4976856631,5638922.7325671688,92200.0000000000,0.2500000000,-6.6875000000,2.9375000000,0.0156862754,1.0000000000,image40.jpg,5,30U
2847.7306760000,704050.4859601067,5638922.7321064472,92300.0000000000,0.2500000000,-6.6875000000,2.8750000000,0.0627451017,0.0000000000,image41.jpg,5,30U
2912.7407280000,nan,nan,nan,0.2500000000,-6.7500000000,2.8750000000,0.0705882385,0.0000000000,image42.jpg,nan,nan
2977.4183320000,704050.4859601067,5638922.7321064472,92200.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0627451017,0.0000000000,image43.jpg,5,30U
3044.8521860000,704050.4852320751,5638922.7506351667,92200.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,1.0000000000,image44.jpg,5,30U
3116.4906240000,nan,nan,nan,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,0.0000000000,image45.jpg,nan,nan
3178.9973420000,704050.4852320751,5638922.7506351667,92200.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,0.0000000000,image46.jpg,5,30U
3253.7564570000,704050.4852320751,5638922.7506351667,92200.0000000000,0.2500000000,-6.7500000000,2.8750000000,-0.0235294122,1.0000000000,image47.jpg,5,30U
3312.7901030000,nan,nan,nan,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,0.0000000000,image48.jpg,nan,nan
3378.5418740000,704050.4852320751,5638922.7506351667,92200.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0627451017,0.0000000000,image49.jpg,5,30U
3453.8204670000,704050.4852320751,5638922.7506351667,92200.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0627451017,0.0000000000,image50.jpg,5,30U
3513.6531760000,nan,nan,nan,0.2500000000,-6.7500000000,2.8750000000,0.0313725509,1.0000000000,image51.jpg,nan,nan
3581.4061970000,704050.4852320751,5638922.7506351667,92200.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,0.0000000000,image52.jpg,5,30U
3644.1057280000,704050.4727784873,5638922.7687031617,92200.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,0.0000000000,image53.jpg,5,30U
3717.4095820000,nan,nan,nan,0.2500000000,-6.7500000000,2.8750000000,0.0235294122,0.0000000000,image54.jpg,nan,nan
3781.2018210000,704050.4845040435,5638922.7691638824,92200.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,0.0000000000,image55.jpg,5,30U
3848.1047380000,704050.9717271241,5638922.3243748182,93000.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,0.0000000000,image56.jpg,4,30U
3914.2040090000,nan,nan,nan,0.2500000000,-6.7500000000,2.8750000000,0.0627451017,0.0000000000,image57.jpg,nan,nan
3979.8158840000,704050.9717271241,5638922.3243748182,93000.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0313725509,1.0000000000,image58.jpg,4,30U
4050.3822380000,704050.9717271241,5638922.3243748182,93000.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0627451017,0.0000000000,image59.jpg,4,30U
4112.6398940000,nan,nan,nan,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,0.0000000000,image60.jpg,nan,nan
4184.3236960000,704050.9717271241,5638922.3243748182,93000.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,0.0000000000,image61.jpg,4,30U
4247.9866130000,704050.9717271241,5638922.3243748182,93000.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,1.0000000000,image62.jpg,4,30U
4312.3901550000,nan,nan,nan,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,0.0000000000,image63.jpg,nan,nan
4382.2209880000,704050.9717271241,5638922.3243748182,93000.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0549019612,0.0000000000,image64.jpg,4,30U
4444.7476020000,704050.9717271241,5638922.3243748182,93000.0000000000,0.2500000000,-6.7500000000,2.8750000000,0.0313725509,0.0000000000,image65.jpg,4,30U
4512.8926540000,nan,nan,nan,0.6250000000,-6.7500000000,2.5625000000,0.0627451017,0.0000000000,image66.jpg,nan,nan
4582.3600500000,704050.9717271241,5638922.3243748182,93000.0000000000,0.5625000000,-6.3125000000,2.8750000000,0.0627451017,0.0000000000,image67.jpg,4,30U
4649.3677070000,704050.9717271241,5638922.3243748182,93000.0000000000,0.6250000000,-6.2500000000,3.1875000000,0.0549019612,0.0000000000,image68.jpg,4,30U
4712.2884360000,nan,nan,nan,0.5625000000,-6.5000000000,3.1875000000,0.0235294122,1.0000000000,image69.jpg,nan,nan
4784.5797380000,704050.9717271241,5638922.3243748182,93000.0000000000,0.5000000000,-6.5625000000,3.0625000000,0.0235294122,0.0000000000,image70.jpg,4,30U
4850.1095290000,704050.9717271241,5638922.3243748182,93000.0000000000,0.5000000000,-6.5000000000,3.0625000000,0.0549019612,0.0000000000,image71.jpg,4,30U
4914.6427060000,nan,nan,nan,0.5000000000,-6.5000000000,3.0625000000,0.0235294122,0.0000000000,image72.jpg,nan,nan
4982.6892170000,704050.9717271241,5638922.3243748182,93000.0000000000,0.5000000000,-6.5000000000,3.0625000000,0.0627451017,0.0000000000,image73.jpg,4,30U
5051.8706750000,704050.9717271241,5638922.3243748182,93000.0000000000,0.5000000000,-6.5000000000,3.0625000000,0.0313725509,0.0000000000,image74.jpg,4,30U
5112.9863520000,nan,nan,nan,0.5000000000,-6.5000000000,3.0625000000,0.0627451017,0.0000000000,image75.jpg,nan,nan
5182.8327060000,704050.9717271241,5638922.3243748182,93000.0000000000,0.5000000000,-6.5000000000,3.0625000000,0.0156862754,1.0000000000,image76.jpg,4,30U
5259.7615600000,704050.9717271241,5638922.3243748182,93000.0000000000,0.5000000000,-6.5000000000,3.0625000000,0.0078431377,0.0000000000,image77.jpg,4,30U
5316.8806230000,704050.9717271241,5638922.3243748182,93000.0000000000,0.5000000000,-6.5000000000,3.0625000000,0.0470588244,0.0000000000,image78.jpg,4,30U
5382.8705190000,nan,nan,nan,0.5000000000,-6.5000000000,3.0625000000,0.0470588244,0.0000000000,image79.jpg,nan,nan
5452.5379670000,704050.9717271241,5638922.3243748182,93000.0000000000,0.5000000000,-6.5000000000,3.0625000000,0.0470588244,2.0000000000,image80.jpg,4,30U
5512.9632270000,nan,nan,nan,0.5000000000,-6.5000000000,3.0625000000,0.0156862754,0.0000000000,image81.jpg,nan,nan
5584.6721330000,704050.9717271241,5638922.3243748182,93000.0000000000,0.5000000000,-6.5000000000,3.0625000000,0.2352941185,0.0000000000,image82.jpg,4,30U
